# ----------------------------------------
# csstats.gg
# Untitled exploration-Free form 1
# 20260225-20260316
# ----------------------------------------

ads_ab_variant,prebid,publift,(not set),,Totals
Country,Views,Views,Views,Views,Views
,4892764,4806180,29190,95,9728229,Grand total
,1,21,0,0,22
(not set),573,828,2,0,1403
Afghanistan,19,28,1,0,48
Albania,2290,2549,12,0,4851
Algeria,4758,5917,7,0,10682
Andorra,63,182,0,0,245
Angola,3,67,0,0,70
Antigua & Barbuda,0,68,0,0,68
Argentina,103266,104594,398,2,208260
Armenia,3003,2268,17,0,5288
Aruba,6,18,0,0,24
Australia,53182,50193,247,1,103623
Austria,22507,22092,149,0,44748
Azerbaijan,2540,5780,5,0,8325
Bahamas,0,3,0,0,3
Bahrain,216,176,0,0,392
Bangladesh,1302,1528,2,0,2832
Barbados,1,119,0,0,120
Belarus,76145,71977,714,4,148840
Belgium,15329,19091,131,0,34551
Belize,0,20,0,0,20
Benin,4,0,0,0,4
Bermuda,23,0,0,0,23
Bhutan,1,1,0,0,2
Bolivia,656,528,0,0,1184
Bosnia & Herzegovina,5667,6907,84,1,12659
Botswana,10,2,0,0,12
Brazil,322854,314280,1905,5,639044
British Virgin Islands,0,13,0,0,13
Brunei,575,607,1,0,1183
Bulgaria,29445,25875,69,0,55389
Burkina Faso,0,9,0,0,9
Cambodia,719,956,1,0,1676
Canada,76566,78302,312,5,155185
Cape Verde,0,5,0,0,5
Cayman Islands,143,45,0,0,188
Chile,18822,17696,55,0,36573
China,11731,9225,198,0,21154
Colombia,2223,2668,5,0,4896
Congo - Kinshasa,215,38,0,0,253
Costa Rica,423,358,1,0,782
Croatia,8682,8809,55,0,17546
Curaçao,0,15,0,0,15
Cyprus,2147,3030,20,0,5197
Czechia,74530,71731,620,1,146882
Denmark,53623,52125,210,1,105959
Dominican Republic,412,112,1,0,525
Ecuador,717,722,2,0,1441
Egypt,1208,1711,2,0,2921
El Salvador,241,174,1,0,416
Estonia,21570,21970,103,0,43643
Faroe Islands,123,245,0,0,368
Finland,85175,83665,348,0,169188
France,113378,129568,537,0,243483
French Guiana,6,39,0,0,45
French Polynesia,26,135,1,0,162
Gabon,10,0,0,0,10
Georgia,8898,8603,27,0,17528
Germany,247579,236326,1839,3,485747
Ghana,13,93,0,0,106
Gibraltar,2,73,0,0,75
Greece,10617,10639,112,0,21368
Greenland,146,132,0,0,278
Guadeloupe,52,7,0,0,59
Guam,48,42,0,0,90
Guatemala,125,631,0,0,756
Guernsey,27,155,17,0,199
Guinea,1,0,0,0,1
Guyana,6,0,0,0,6
Honduras,114,77,0,0,191
Hong Kong,48977,40403,131,0,89511
Hungary,37857,34867,189,1,72914
Iceland,1443,2283,0,0,3726
