Tier,Country,Prebid (Moba) Page Views,Publift Page Views,Moba Revenue ($),Publift Revenue Gross ($),Publift Revenue Net ($),Moba eCPM ($),Publift eCPM Gross ($),Publift eCPM Net ($),Moba Advantage vs Publift Net (%)
Tier 1,Australia,"53,182","50,193",$13.17,$18.63,$15.84,$0.2476,$0.3712,$0.3155,-21.5%
Tier 1,Canada,"76,566","78,302",$29.20,$28.61,$24.32,$0.3814,$0.3654,$0.3106,+22.8%
Tier 1,France,"113,378","129,568",$14.28,$18.74,$15.93,$0.1260,$0.1446,$0.1229,+2.4%
Tier 1,Germany,"247,579","236,326",$57.31,$59.33,$50.43,$0.2315,$0.2511,$0.2134,+8.5%
Tier 1,Italy,"15,292","14,288",$2.09,$2.25,$1.91,$0.1367,$0.1575,$0.1339,+2.1%
Tier 1,Spain,"75,169","70,596",$10.27,$9.88,$8.40,$0.1366,$0.1400,$0.1190,+14.9%
Tier 1,United Kingdom,"87,652","87,652",$17.97,$23.84,$20.26,$0.2050,$0.2720,$0.2312,-11.3%
Tier 1,United States,"6,312","5,498",$67.84,$0.29,$0.25,$10.7478,$0.0527,$0.0448,+23872.1%
Tier 2,Austria,"22,507","22,092",$8.18,$7.11,$6.04,$0.3634,$0.3218,$0.2736,+32.9%
Tier 2,Belgium,"15,329","19,091",$3.06,$4.34,$3.69,$0.1996,$0.2273,$0.1932,+3.3%
Tier 2,Croatia,"8,682","8,809",$0.55,$0.83,$0.71,$0.0633,$0.0942,$0.0801,-20.9%
Tier 2,Cyprus,"2,147","3,030",$0.53,$0.27,$0.23,$0.2469,$0.0891,$0.0757,+225.9%
Tier 2,Czechia,"74,530","71,731",$7.73,$9.14,$7.77,$0.1037,$0.1274,$0.1083,-4.2%
Tier 2,Denmark,"53,623","52,125",$16.79,$16.19,$13.76,$0.3131,$0.3106,$0.2640,+18.6%
Tier 2,Estonia,"21,570","21,970",$8.61,$5.29,$4.50,$0.3992,$0.2408,$0.2047,+95.0%
Tier 2,Faroe Islands,123,245,$0.00,$0.00,$0.00,$0.0000,$0.0000,$0.0000,N/A
Tier 2,Finland,"85,175","83,665",$39.28,$28.27,$24.03,$0.4612,$0.3379,$0.2872,+60.6%
Tier 2,Greece,"10,617","10,639",$0.31,$0.48,$0.41,$0.0292,$0.0451,$0.0383,-23.9%
Tier 2,Hungary,"37,857","34,867",$6.68,$7.04,$5.98,$0.1765,$0.2019,$0.1716,+2.8%
Tier 2,Iceland,"1,443","2,283",$0.26,$0.51,$0.43,$0.1802,$0.2234,$0.1899,-5.1%
Tier 2,Ireland,"9,259","7,913",$1.74,$1.49,$1.27,$0.1879,$0.1883,$0.1601,+17.4%
Tier 2,Japan,"19,321","19,921",$1.15,$1.43,$1.22,$0.0595,$0.0718,$0.0610,-2.5%
Tier 2,Jordan,"2,214","1,451",$0.03,$0.02,$0.02,$0.0136,$0.0138,$0.0117,+15.7%
Tier 2,Latvia,"29,293","30,300",$2.79,$2.75,$2.34,$0.0952,$0.0908,$0.0771,+23.5%
Tier 2,Liechtenstein,320,284,$0.01,$0.01,$0.01,$0.0312,$0.0352,$0.0299,+4.4%
Tier 2,Lithuania,"41,298","36,896",$1.53,$1.63,$1.39,$0.0370,$0.0442,$0.0376,-1.3%
Tier 2,Netherlands,"36,541","34,972",$4.93,$5.82,$4.95,$0.1349,$0.1664,$0.1415,-4.6%
Tier 2,New Zealand,"11,422","8,386",$1.12,$1.34,$1.14,$0.0981,$0.1598,$0.1358,-27.8%
Tier 2,Norway,"33,949","31,528",$8.88,$9.42,$8.01,$0.2616,$0.2988,$0.2540,+3.0%
Tier 2,Poland,"469,676","476,598",$34.14,$49.17,$41.79,$0.0727,$0.1032,$0.0877,-17.1%
Tier 2,Portugal,"68,446","62,254",$8.83,$9.31,$7.91,$0.1290,$0.1495,$0.1271,+1.5%
Tier 2,Romania,"86,815","79,309",$6.07,$11.76,$10.00,$0.0699,$0.1483,$0.1260,-44.5%
Tier 2,Saudi Arabia,"2,825","4,818",$0.67,$0.78,$0.66,$0.2372,$0.1619,$0.1376,+72.3%
Tier 2,Serbia,"23,997","21,650",$1.61,$2.44,$2.07,$0.0671,$0.1127,$0.0958,-30.0%
Tier 2,Singapore,"20,157","17,267",$2.76,$3.14,$2.67,$0.1369,$0.1818,$0.1546,-11.4%
Tier 2,Slovakia,"38,044","35,257",$2.46,$3.25,$2.76,$0.0647,$0.0922,$0.0784,-17.5%
Tier 2,Slovenia,"7,338","7,272",$0.35,$0.36,$0.31,$0.0477,$0.0495,$0.0421,+13.4%
Tier 2,South Korea,"70,730","73,140",$3.92,$5.76,$4.90,$0.0554,$0.0788,$0.0669,-17.2%
Tier 2,Sweden,"68,872","69,360",$16.34,$20.44,$17.37,$0.2373,$0.2947,$0.2505,-5.3%
Tier 2,Switzerland,"17,168","17,514",$5.52,$5.80,$4.93,$0.3215,$0.3312,$0.2815,+14.2%
Tier 2,United Arab Emirates,"7,458","5,492",$1.28,$1.25,$1.06,$0.1716,$0.2276,$0.1935,-11.3%
Tier 3,Albania,"2,290","2,549",$0.13,$0.07,$0.06,$0.0568,$0.0275,$0.0233,+143.2%
Tier 3,Algeria,"4,758","5,917",$0.01,$0.03,$0.03,$0.0021,$0.0051,$0.0043,-51.2%
Tier 3,Argentina,"103,266","104,594",$5.47,$7.41,$6.30,$0.0530,$0.0708,$0.0602,-12.0%
Tier 3,Armenia,"3,003","2,268",$0.01,$0.02,$0.02,$0.0033,$0.0088,$0.0075,-55.6%
