# ----------------------------------------
# csstats.gg
# Prebid Experiment-Free form 1
# 20260327-20260409
# ----------------------------------------

ads_ab_variant,prebid,primis,(not set),publift,,Totals
Country,Views,Views,Views,Views,Views,Views
,2403348,2342763,1589026,98775,29241,6463153,Grand total
,7,3,0,0,0,10
(not set),399,253,77,7,0,736
Afghanistan,0,2,0,0,0,2
Albania,1406,2300,9,63,1,3779
Algeria,3623,2535,0,147,0,6305
Andorra,87,85,0,12,0,184
Angola,12,2,0,0,0,14
Antarctica,0,4,0,0,0,4
Antigua & Barbuda,0,0,501,0,0,501
Argentina,76138,79633,42,4008,1,159822
Armenia,1792,1784,0,69,0,3645
Aruba,6,16,0,0,0,22
Australia,34699,40507,5,2571,0,77782
Austria,14602,14544,74,759,0,29979
Azerbaijan,3038,1405,0,161,0,4604
Bahamas,0,0,0,1,0,1
Bahrain,159,177,0,2,0,338
Bangladesh,712,1066,0,33,0,1811
Barbados,12,65,0,2,0,79
Belarus,48726,46081,12,1814,1,96634
Belgium,11264,11831,3,419,0,23517
Belize,0,18,0,2,0,20
Bermuda,8,44,0,0,0,52
Bolivia,452,178,0,21,0,651
Bosnia & Herzegovina,3544,3572,0,95,0,7211
Botswana,28,23,0,0,0,51
Brazil,216069,205781,1140,10006,84,433080
British Virgin Islands,1,0,0,0,0,1
Brunei,279,407,0,23,0,709
Bulgaria,17010,17422,11,656,0,35099
Burkina Faso,4,0,0,0,0,4
Cambodia,471,993,0,68,0,1532
Canada,57859,55689,834,3019,39,117440
Cape Verde,1,0,0,0,0,1
Chile,12813,11407,1,591,0,24812
China,7328,7332,7,423,0,15090
Colombia,1581,1578,0,68,0,3227
Congo - Kinshasa,0,292,0,0,0,292
Costa Rica,140,179,0,8,0,327
Croatia,6863,5592,0,230,0,12685
Cyprus,1547,2231,10,123,0,3911
Czechia,47929,46730,51,1487,4,96201
Côte d’Ivoire,0,21,0,0,0,21
Denmark,30714,33387,21,1114,0,65236
Djibouti,2,16,0,0,0,18
Dominican Republic,181,219,0,35,0,435
Ecuador,403,368,0,83,0,854
Egypt,834,1042,1,70,0,1947
El Salvador,162,87,0,5,0,254
Equatorial Guinea,1,5,0,0,0,6
Estonia,13570,14162,59,479,2,28272
Faroe Islands,101,285,0,16,0,402
Finland,50096,49769,233,1958,5,102061
France,80292,73482,780,2898,7,157459
French Guiana,6,28,0,0,0,34
French Polynesia,12,5,0,0,0,17
Gabon,0,114,0,1,0,115
Georgia,4615,6565,135,198,0,11513
Germany,170255,172590,2176,5901,36,350958
Ghana,86,196,0,7,0,289
Gibraltar,19,1,0,0,0,20
Greece,7587,7460,3,287,0,15337
Greenland,39,47,0,0,0,86
Guadeloupe,1,49,0,0,0,50
Guam,28,18,0,0,0,46
Guatemala,623,329,0,16,0,968
Guernsey,166,9,0,0,0,175
Haiti,3,0,0,0,0,3
Honduras,150,46,0,5,0,201
Hong Kong,32968,31329,18,1407,1,65723
Hungary,24531,21012,248,773,16,46580
Iceland,1547,1019,1,60,0,2627
India,23482,23048,24,1040,0,47594
Indonesia,16010,16157,1801,951,11,34930
Iraq,984,597,66,33,0,1680
Ireland,5564,6083,0,134,0,11781
Isle of Man,39,21,0,0,0,60
Israel,8529,8004,1,320,0,16854
Italy,8531,8594,2065,338,10,19538
Jamaica,76,11,0,0,0,87
Japan,12715,13224,8,769,0,26716
Jersey,171,77,0,0,0,248
Jordan,1673,1036,0,55,0,2764
Kazakhstan,34618,35070,207,1558,0,71453
Kenya,9,70,0,0,0,79
Kosovo,832,1041,0,147,0,2020
Kuwait,1490,1601,0,90,0,3181
Kyrgyzstan,3245,3549,5,158,0,6957
Laos,37,13,0,1,0,51
Latvia,19271,19209,544,671,13,39708
Lebanon,1206,803,1,84,0,2094
Libya,25,21,0,0,0,46
Liechtenstein,24,27,0,0,0,51
Lithuania,25886,24219,35,791,0,50931
Luxembourg,634,1098,0,25,0,1757
Macao,1147,1412,0,61,0,2620
Madagascar,3,0,0,0,0,3
Malaysia,16563,13999,18,942,0,31522
Maldives,89,12,0,0,0,101
Mali,1,0,0,0,0,1
Malta,449,434,0,19,0,902
Martinique,35,26,0,0,0,61
Mauritania,1,0,0,0,0,1
Mauritius,368,342,0,0,0,710
Mexico,3344,3385,12,156,0,6897
Moldova,10101,6393,22,235,0,16751
Monaco,15,19,0,0,0,34
Mongolia,8784,8343,1,657,0,17785
Montenegro,778,848,0,48,0,1674
Morocco,1758,1258,0,21,0,3037
Mozambique,5,5,0,0,0,10
Myanmar (Burma),153,392,2,18,0,565
Namibia,37,96,0,0,0,133
Nepal,274,459,0,82,0,815
Netherlands,24495,24549,1184,1063,6,51297
New Caledonia,714,62,0,5,0,781
New Zealand,6288,8296,187,385,0,15156
Nicaragua,9,70,0,15,0,94
Niger,0,4,0,0,0,4
Nigeria,20,6,0,1,0,27
North Macedonia,2859,4515,0,171,0,7545
Northern Mariana Islands,0,2,0,0,0,2
Norway,20892,20619,23,649,0,42183
Oman,708,107,0,65,0,880
Pakistan,4733,5800,0,212,0,10745
Palestine,822,354,0,66,0,1242
Panama,333,305,0,3,0,641
Paraguay,873,1178,0,26,0,2077
Peru,13216,15415,1,626,0,29258
Philippines,7383,7410,31,352,0,15176
Poland,279374,279954,617,10461,13,570419
Portugal,50155,44415,5,1612,0,96187
Puerto Rico,31,277,0,16,0,324
Qatar,296,391,0,25,0,712
Romania,52658,51615,13,1640,0,105926
Russia,28893,28407,1571343,2371,28953,1659967
Rwanda,6,0,0,0,0,6
Réunion,238,166,0,6,0,410
Saudi Arabia,1693,2592,0,66,0,4351
Senegal,46,5,0,0,0,51
Serbia,16182,17075,8,673,0,33938
Seychelles,1,0,0,0,0,1
Singapore,13041,14425,1,608,0,28075
Sint Maarten,0,3,0,0,0,3
Slovakia,24759,24434,23,820,0,50036
Slovenia,4494,3698,7,180,0,8379
South Africa,5114,5227,0,186,0,10527
South Korea,48679,46135,7,2407,0,97228
Spain,50219,51067,14,1560,0,102860
Sri Lanka,181,188,0,0,0,369
St. Martin,0,23,0,5,0,28
St. Vincent & Grenadines,0,5,0,0,0,5
Sweden,41306,43294,120,1605,0,86325
Switzerland,10559,10751,68,263,5,21646
Syria,318,194,0,3,0,515
Taiwan,52801,48141,37,2146,1,103126
Tajikistan,1216,807,0,29,0,2052
Tanzania,55,475,0,0,0,530
Thailand,12544,10071,3,630,0,23248
Trinidad & Tobago,127,29,0,1,0,157
Tunisia,478,449,0,7,0,934
Turkmenistan,94,187,3,18,0,302
Türkiye,137298,126794,16,4368,0,268476
U.S. Virgin Islands,0,0,11,0,0,11
Uganda,73,0,0,0,0,73
Ukraine,159005,145213,1676,6255,7,312156
United Arab Emirates,5358,3736,3,236,0,9333
United Kingdom,66600,62309,319,2041,0,131269
United States,2610,2444,2032,94,25,7205
Uruguay,3750,4368,0,181,0,8299
Uzbekistan,14367,12253,1,819,0,27440
Vanuatu,0,9,0,0,0,9
Venezuela,1800,1440,0,55,0,3295
Vietnam,34950,34490,9,2144,0,71593
Western Sahara,0,3,0,0,0,3
Yemen,0,1,0,0,0,1
Zambia,61,59,0,0,0,120
Zimbabwe,14,2,0,0,0,16
Åland Islands,2,33,0,0,0,35

