created_week,campaign_id,technical_name,mission_name,organizer_id,users_activated,users_completed
2026-03-09,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,2359,2201
2026-03-09,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,53,0
2026-03-09,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,2018,71
2026-03-16,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,872,672
2026-03-16,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,29,2
2026-03-16,69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,848,11
2026-03-09,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,1460,1391
2026-03-09,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,65,2
2026-03-09,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,1285,83
2026-03-16,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,413,311
2026-03-16,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,27,0
2026-03-16,69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,415,10
2026-03-09,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,3109,2879
2026-03-09,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,84,2
2026-03-09,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,2572,130
2026-03-16,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,1261,900
2026-03-16,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,66,2
2026-03-16,69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,1192,20
2026-03-09,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,14429,12699
2026-03-09,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,131,7
2026-03-09,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,11382,171
2026-03-16,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,9524,7094
2026-03-16,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,123,0
2026-03-16,69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade any item with Tradeit,976fe92b-0998-4a2a-86a6-f655bbab8f07,8283,83
2026-03-09,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй любой предмет на tradeit.gg,976fe92b-0998-4a2a-86a6-f655bbab8f07,201092,3736
2026-03-09,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,976fe92b-0998-4a2a-86a6-f655bbab8f07,3065,63
2026-03-09,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Сыграй 1 матч,976fe92b-0998-4a2a-86a6-f655bbab8f07,228365,215610
2026-03-16,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй любой предмет на tradeit.gg,976fe92b-0998-4a2a-86a6-f655bbab8f07,78960,707
2026-03-16,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,976fe92b-0998-4a2a-86a6-f655bbab8f07,1330,24
2026-03-16,69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Сыграй 1 матч,976fe92b-0998-4a2a-86a6-f655bbab8f07,80458,65172
2026-03-09,69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Play 1 game on FACEIT,976fe92b-0998-4a2a-86a6-f655bbab8f07,7914,7364
2026-03-09,69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade an item $250+,976fe92b-0998-4a2a-86a6-f655bbab8f07,162,6
