Report name,Ad Manager Report
Report type,Historical
Report result ID,9500520193
Report currency,GBP
Publisher network,FACE IT LIMITED
User,m.natalini@efg.gg
Date/Time generated,"April 14, 2026 10:42:11 AM BST"
Date range,"Mar 26, 2026 - Apr 14, 2026"
Time zone,Europe/London
Filters,Ad unit ID = 23335075525

Country,Ad server impressions,Ad server clicks,Ad server CTR,Completion rate
,734,1,0.0014,0.7057
Afghanistan,69,0,0.0,0.7164
Albania,30575,236,0.0077,0.5657
Algeria,17100,92,0.0054,0.6454
Andorra,185,0,0.0,0.8595
Angola,56,1,0.0179,0.6909
Antarctica,3,0,0.0,0.6667
Argentina,126730,413,0.0033,0.729
Armenia,7670,31,0.004,0.6878
Aruba,93,1,0.0108,0.871
Australia,53597,152,0.0028,0.7409
Austria,28476,82,0.0029,0.7275
Azerbaijan,14037,63,0.0045,0.6552
Bahrain,570,3,0.0053,0.7965
Bangladesh,1949,11,0.0056,0.739
Barbados,28,0,0.0,0.9286
Belarus,188082,806,0.0043,0.6432
Belgium,30379,92,0.003,0.7356
Belize,11,0,0.0,0.9091
Bermuda,21,0,0.0,0.5714
Bhutan,32,0,0.0,0.875
Bolivia,1292,3,0.0023,0.8088
Bosnia and Herzegovina,20528,69,0.0034,0.6662
Brazil,191978,506,0.0026,0.7627
Brunei,1471,2,0.0014,0.7104
Bulgaria,50242,201,0.004,0.7401
Cabo Verde,1,0,0.0,0.0
Cambodia,2212,10,0.0045,0.701
Cameroon,2,0,0.0,1.0
Canada,68042,185,0.0027,0.7568
Caribbean Netherlands,35,0,0.0,0.8
Cayman Islands,39,1,0.0256,0.8205
Chad,46,0,0.0,0.7826
Chile,19354,50,0.0026,0.7203
China,18091,84,0.0046,0.7715
Colombia,4013,10,0.0025,0.7755
Costa Rica,696,2,0.0029,0.7816
Cote d'Ivoire,386,2,0.0052,0.7927
Croatia,19354,57,0.0029,0.733
Curacao,15,0,0.0,0.9333
Cyprus,6386,15,0.0023,0.7318
Czechia,89406,294,0.0033,0.7437
Democratic Republic of the Congo,6,0,0.0,0.5
Denmark,127066,427,0.0034,0.7274
Djibouti,14,0,0.0,0.9286
Dominican Republic,406,0,0.0,0.715
Ecuador,1031,3,0.0029,0.7158
Egypt,3041,14,0.0046,0.715
El Salvador,193,1,0.0052,0.6891
Estonia,25804,107,0.0041,0.7195
Ethiopia,14,0,0.0,0.7857
Faroe Islands,696,3,0.0043,0.7514
Fiji,2,0,0.0,0.5
Finland,122564,333,0.0027,0.6862
France,141589,373,0.0026,0.7482
French Guiana,65,0,0.0,0.8462
French Polynesia,19,0,0.0,0.7895
Gabon,13,0,0.0,0.6154
Georgia,53561,220,0.0041,0.7099
Germany,240921,719,0.003,0.721
Ghana,65,0,0.0,0.7538
Gibraltar,35,0,0.0,0.8
Greece,24237,89,0.0037,0.7218
Greenland,149,0,0.0,0.7584
Guadeloupe,52,0,0.0,0.8462
Guam,31,0,0.0,0.2258
Guatemala,541,1,0.0018,0.7153
Guernsey,153,0,0.0,0.7451
Guinea,19,0,0.0,0.7368
Guyana,1,0,0.0,1.0
Honduras,138,1,0.0072,0.7681
Hong Kong,17225,55,0.0032,0.7719
Hungary,54953,194,0.0035,0.7454
Iceland,4383,14,0.0032,0.736
India,19311,79,0.0041,0.7168
Indonesia,17343,89,0.0051,0.7301
Iraq,1725,11,0.0064,0.6969
Ireland,12971,47,0.0036,0.7297
Isle of Man,145,1,0.0069,0.6828
Israel,37376,197,0.0053,0.7488
Italy,24386,65,0.0027,0.7202
Jamaica,89,0,0.0,0.8652
Japan,11457,54,0.0047,0.7435
Jersey,330,1,0.003,0.7788
Jordan,16526,88,0.0053,0.6915
Kazakhstan,494768,2215,0.0045,0.5943
Kenya,72,0,0.0,0.75
Kosovo,85534,762,0.0089,0.508
Kuwait,2448,15,0.0061,0.6341
Kyrgyzstan,36835,133,0.0036,0.6425
Laos,459,1,0.0022,0.6471
Latvia,37943,156,0.0041,0.6969
Lebanon,12381,58,0.0047,0.6324
Libya,507,1,0.002,0.6864
Liechtenstein,139,2,0.0144,0.7986
Lithuania,67272,246,0.0037,0.7395
Luxembourg,2198,11,0.005,0.722
Macao,1191,2,0.0017,0.7674
Madagascar,8,0,0.0,0.625
Malaysia,29072,83,0.0029,0.773
Maldives,179,1,0.0056,0.6927
Mali,42,1,0.0238,0.881
Malta,1469,5,0.0034,0.7549
Martinique,116,2,0.0172,0.7241
Mauritius,126,0,0.0,0.7222
Mexico,6829,15,0.0022,0.756
Moldova,26855,119,0.0044,0.6801
Monaco,66,0,0.0,0.8636
Mongolia,168985,999,0.0059,0.6806
Montenegro,8770,41,0.0047,0.6669
Morocco,2608,11,0.0042,0.7155
Mozambique,12,0,0.0,0.75
Myanmar (Burma),1237,5,0.004,0.6783
Namibia,10,0,0.0,0.5
Nepal,639,0,0.0,0.8169
Netherlands,49444,188,0.0038,0.7278
New Caledonia,5,0,0.0,0.4
New Zealand,7403,23,0.0031,0.7374
Nicaragua,9,0,0.0,0.6667
Niger,3,0,0.0,0.6667
Nigeria,76,1,0.0132,0.8816
North Macedonia,47324,278,0.0059,0.6079
Northern Mariana Islands,11,0,0.0,1.0
Norway,42250,139,0.0033,0.7396
Oman,418,1,0.0024,0.717
Pakistan,27118,99,0.0037,0.5524
Palestine,13279,76,0.0057,0.7033
Panama,681,2,0.0029,0.7346
Papua New Guinea,10,0,0.0,0.9
Paraguay,2820,11,0.0039,0.7301
Peru,15225,70,0.0046,0.7549
Philippines,28695,75,0.0026,0.7433
Poland,925776,2778,0.003,0.7193
Portugal,133978,369,0.0028,0.7038
Puerto Rico,213,0,0.0,0.831
Qatar,1563,3,0.0019,0.7115
Reunion,145,1,0.0069,0.7379
Romania,249026,868,0.0035,0.7061
Saint Barthelemy,8,1,0.125,0.875
Saint Kitts and Nevis,28,0,0.0,0.5
Saint Pierre and Miquelon,71,1,0.0141,0.7183
Saint Vincent and the Grenadines,1,0,0.0,1.0
Samoa,49,0,0.0,0.6939
San Marino,1,0,0.0,0.0
Saudi Arabia,6292,30,0.0048,0.724
Senegal,24,0,0.0,0.7083
Serbia,71361,291,0.0041,0.6633
Seychelles,7,0,0.0,0.7143
Sierra Leone,27,0,0.0,0.7778
Singapore,13516,59,0.0044,0.7331
Sint Maarten,10,0,0.0,1.0
Slovakia,46011,144,0.0031,0.7355
Slovenia,10983,33,0.003,0.7326
South Africa,1881,8,0.0043,0.8026
South Korea,27293,141,0.0052,0.74
Spain,62350,192,0.0031,0.7542
Sri Lanka,431,2,0.0046,0.6512
Suriname,14,0,0.0,0.7143
Sweden,122742,426,0.0035,0.7409
Switzerland,25910,82,0.0032,0.7289
Syria,2212,10,0.0045,0.5949
Taiwan,21069,64,0.003,0.8122
Tajikistan,18928,136,0.0072,0.5725
Tanzania,82,0,0.0,0.8902
Thailand,27451,109,0.004,0.7707
The Bahamas,62,0,0.0,0.871
Togo,51,1,0.0196,0.4902
Trinidad and Tobago,84,0,0.0,0.8571
Tunisia,4263,20,0.0047,0.7277
Turkiye,465820,1684,0.0036,0.7324
Turkmenistan,26,1,0.0385,0.6538
U.S. Virgin Islands,7,0,0.0,0.7143
Uganda,2,0,0.0,0.5
Ukraine,383490,1542,0.004,0.7096
United Arab Emirates,19538,48,0.0025,0.7017
United Kingdom,115742,296,0.0026,0.7497
United States,281027,688,0.0024,0.7615
Uruguay,7646,26,0.0034,0.7447
Uzbekistan,191135,906,0.0047,0.6379
Venezuela,5636,22,0.0039,0.671
Vietnam,47037,208,0.0044,0.7154
Western Sahara,23,0,0.0,0.7391
Yemen,1,0,0.0,1.0
Zambia,7,0,0.0,0.2857
Zimbabwe,10,0,0.0,0.9
