Tier,Country,Monthly Sessions,Unique Users,Ad Pods/Month,Impressions/Month,Fill Rate,Filled Impressions,CPM ($),Monthly Ad Rev ($),Annual Ad Rev ($),House Ads (unfilled pods),Subs Conversion (0.05%),Cannibalisation (50%),Monthly Subs Rev ($),Annual Subs Rev ($),Monthly Total ($),Annual Total ($)
Tier 1,DE,1072781,60037,=C2,=E2*3,0.2,=F2*G2,15,=H2/1000*I2,=J2*12,=E2*(1-G2),=L2*0.0005,=M2*0.5,=N2*7.30,=O2*12,=J2+O2,=K2+P2
Tier 1,US,528836,42818,=C3,=E3*3,0.2,=F3*G3,15,=H3/1000*I3,=J3*12,=E3*(1-G3),=L3*0.0005,=M3*0.5,=N3*7.30,=O3*12,=J3+O3,=K3+P3
Tier 1,FR,405336,27113,=C4,=E4*3,0.2,=F4*G4,15,=H4/1000*I4,=J4*12,=E4*(1-G4),=L4*0.0005,=M4*0.5,=N4*7.30,=O4*12,=J4+O4,=K4+P4
Tier 1,GB,351390,22315,=C5,=E5*3,0.2,=F5*G5,15,=H5/1000*I5,=J5*12,=E5*(1-G5),=L5*0.0005,=M5*0.5,=N5*7.30,=O5*12,=J5+O5,=K5+P5
Tier 1,ES,176879,11598,=C6,=E6*3,0.2,=F6*G6,15,=H6/1000*I6,=J6*12,=E6*(1-G6),=L6*0.0005,=M6*0.5,=N6*7.30,=O6*12,=J6+O6,=K6+P6
Tier 1,CA,137778,9510,=C7,=E7*3,0.2,=F7*G7,15,=H7/1000*I7,=J7*12,=E7*(1-G7),=L7*0.0005,=M7*0.5,=N7*7.30,=O7*12,=J7+O7,=K7+P7
Tier 1,IT,94393,4784,=C8,=E8*3,0.2,=F8*G8,15,=H8/1000*I8,=J8*12,=E8*(1-G8),=L8*0.0005,=M8*0.5,=N8*7.30,=O8*12,=J8+O8,=K8+P8
Tier 1,AU,75732,5646,=C9,=E9*3,0.2,=F9*G9,15,=H9/1000*I9,=J9*12,=E9*(1-G9),=L9*0.0005,=M9*0.5,=N9*7.30,=O9*12,=J9+O9,=K9+P9
Tier 2,PL,3392765,156508,=C10,=E10*3,0.2,=F10*G10,10,=H10/1000*I10,=J10*12,=E10*(1-G10),=L10*0.0005,=M10*0.5,=N10*7.30,=O10*12,=J10+O10,=K10+P10
Tier 2,RO,1046223,46186,=C11,=E11*3,0.2,=F11*G11,10,=H11/1000*I11,=J11*12,=E11*(1-G11),=L11*0.0005,=M11*0.5,=N11*7.30,=O11*12,=J11+O11,=K11+P11
Tier 2,FI,593039,29566,=C12,=E12*3,0.2,=F12*G12,10,=H12/1000*I12,=J12*12,=E12*(1-G12),=L12*0.0005,=M12*0.5,=N12*7.30,=O12*12,=J12+O12,=K12+P12
Tier 2,PT,585711,28514,=C13,=E13*3,0.2,=F13*G13,10,=H13/1000*I13,=J13*12,=E13*(1-G13),=L13*0.0005,=M13*0.5,=N13*7.30,=O13*12,=J13+O13,=K13+P13
Tier 2,NL,533485,25111,=C14,=E14*3,0.2,=F14*G14,10,=H14/1000*I14,=J14*12,=E14*(1-G14),=L14*0.0005,=M14*0.5,=N14*7.30,=O14*12,=J14+O14,=K14+P14
Tier 2,DK,431661,26190,=C15,=E15*3,0.2,=F15*G15,10,=H15/1000*I15,=J15*12,=E15*(1-G15),=L15*0.0005,=M15*0.5,=N15*7.30,=O15*12,=J15+O15,=K15+P15
Tier 2,SE,410301,24758,=C16,=E16*3,0.2,=F16*G16,10,=H16/1000*I16,=J16*12,=E16*(1-G16),=L16*0.0005,=M16*0.5,=N16*7.30,=O16*12,=J16+O16,=K16+P16
Tier 2,RS,341295,13145,=C17,=E17*3,0.2,=F17*G17,10,=H17/1000*I17,=J17*12,=E17*(1-G17),=L17*0.0005,=M17*0.5,=N17*7.30,=O17*12,=J17+O17,=K17+P17
Tier 2,LT,270153,13037,=C18,=E18*3,0.2,=F18*G18,10,=H18/1000*I18,=J18*12,=E18*(1-G18),=L18*0.0005,=M18*0.5,=N18*7.30,=O18*12,=J18+O18,=K18+P18
Tier 2,CZ,245571,15186,=C19,=E19*3,0.2,=F19*G19,10,=H19/1000*I19,=J19*12,=E19*(1-G19),=L19*0.0005,=M19*0.5,=N19*7.30,=O19*12,=J19+O19,=K19+P19
Tier 2,LV,206597,10965,=C20,=E20*3,0.2,=F20*G20,10,=H20/1000*I20,=J20*12,=E20*(1-G20),=L20*0.0005,=M20*0.5,=N20*7.30,=O20*12,=J20+O20,=K20+P20
Tier 2,SK,145864,8549,=C21,=E21*3,0.2,=F21*G21,10,=H21/1000*I21,=J21*12,=E21*(1-G21),=L21*0.0005,=M21*0.5,=N21*7.30,=O21*12,=J21+O21,=K21+P21
Tier 2,NO,139435,9411,=C22,=E22*3,0.2,=F22*G22,10,=H22/1000*I22,=J22*12,=E22*(1-G22),=L22*0.0005,=M22*0.5,=N22*7.30,=O22*12,=J22+O22,=K22+P22
Tier 2,HU,134087,9060,=C23,=E23*3,0.2,=F23*G23,10,=H23/1000*I23,=J23*12,=E23*(1-G23),=L23*0.0005,=M23*0.5,=N23*7.30,=O23*12,=J23+O23,=K23+P23
Tier 2,AT,122315,6287,=C24,=E24*3,0.2,=F24*G24,10,=H24/1000*I24,=J24*12,=E24*(1-G24),=L24*0.0005,=M24*0.5,=N24*7.30,=O24*12,=J24+O24,=K24+P24
Tier 2,EE,120851,6362,=C25,=E25*3,0.2,=F25*G25,10,=H25/1000*I25,=J25*12,=E25*(1-G25),=L25*0.0005,=M25*0.5,=N25*7.30,=O25*12,=J25+O25,=K25+P25
Tier 2,BE,94705,5587,=C26,=E26*3,0.2,=F26*G26,10,=H26/1000*I26,=J26*12,=E26*(1-G26),=L26*0.0005,=M26*0.5,=N26*7.30,=O26*12,=J26+O26,=K26+P26
Tier 2,CH,93636,5134,=C27,=E27*3,0.2,=F27*G27,10,=H27/1000*I27,=J27*12,=E27*(1-G27),=L27*0.0005,=M27*0.5,=N27*7.30,=O27*12,=J27+O27,=K27+P27
Tier 2,HR,75158,3692,=C28,=E28*3,0.2,=F28*G28,10,=H28/1000*I28,=J28*12,=E28*(1-G28),=L28*0.0005,=M28*0.5,=N28*7.30,=O28*12,=J28+O28,=K28+P28
Tier 2,GR,58765,2971,=C29,=E29*3,0.2,=F29*G29,10,=H29/1000*I29,=J29*12,=E29*(1-G29),=L29*0.0005,=M29*0.5,=N29*7.30,=O29*12,=J29+O29,=K29+P29
Tier 2,KR,51986,2383,=C30,=E30*3,0.2,=F30*G30,10,=H30/1000*I30,=J30*12,=E30*(1-G30),=L30*0.0005,=M30*0.5,=N30*7.30,=O30*12,=J30+O30,=K30+P30
Tier 2,AE,49805,3364,=C31,=E31*3,0.2,=F31*G31,10,=H31/1000*I31,=J31*12,=E31*(1-G31),=L31*0.0005,=M31*0.5,=N31*7.30,=O31*12,=J31+O31,=K31+P31
Tier 2,JO,46108,1778,=C32,=E32*3,0.2,=F32*G32,10,=H32/1000*I32,=J32*12,=E32*(1-G32),=L32*0.0005,=M32*0.5,=N32*7.30,=O32*12,=J32+O32,=K32+P32
Tier 2,IE,38217,2322,=C33,=E33*3,0.2,=F33*G33,10,=H33/1000*I33,=J33*12,=E33*(1-G33),=L33*0.0005,=M33*0.5,=N33*7.30,=O33*12,=J33+O33,=K33+P33
Tier 2,SG,36923,4554,=C34,=E34*3,0.2,=F34*G34,10,=H34/1000*I34,=J34*12,=E34*(1-G34),=L34*0.0005,=M34*0.5,=N34*7.30,=O34*12,=J34+O34,=K34+P34
Tier 2,SI,34467,1803,=C35,=E35*3,0.2,=F35*G35,10,=H35/1000*I35,=J35*12,=E35*(1-G35),=L35*0.0005,=M35*0.5,=N35*7.30,=O35*12,=J35+O35,=K35+P35
