LOOKER GENERIC LINK MISSIONS,https://efgdata.cloud.looker.com/dashboards/336?Retention+-+Game+Registration+Date=2+month&Campaign+ID=&Match+Created+At+Date=2026&Mission+ID=&Game=cs2&Campaign+Status=ongoing%2Cfinished&Tags=&Skill+Level=&Memberships=&Last+Country+ISO+Code=&Config+ID+%28do+not+use+if+campaign_id+is+specified%29=,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON-ACTIVATED USERS (GENERAL MISSION) - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,1000 FP,"21,533","18,292",866,4.73%,4.73%,"866,000 (FP)"
,Custom Mission,2,Trade any item with Tradeit,$2 Tradeit Credit,"18,213",176,175,20.21%,0.96%,175
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,176,19,19,10.86%,0.10%,19
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8bb5fe58fa8f3dc72bdb/details,,,,,,,,,
campaing ID,694a8bb5fe58fa8f3dc72bdb,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
NON-ACTIVATED USERS (GENERAL MISSION) GROUP B- NORTH AMERICA,Matches,1,Play 1 game on FACEIT,2000 FP,"21,667","18,410",956,5.19%,5.19%,"1,912,000 (FP)"
,Custom Mission,2,Trade any item with Tradeit,$2 Tradeit Credit,"18,347",221,220,23.01%,1.20%,220
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,220,17,17,7.73%,0.09%,17
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8be18e214f349b545914/details,,,,,,,,,
campaing ID,694a8be18e214f349b545914,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JAN'26,Task Type,Task number,Action Required,REWARD,Joined,Completed,Conversions (Prizes claimed),"Conversion Rate 
(to prev. task)",Conversion rate (to 1st task completion),Split by reward - Completed
USERS WITH ACCOUNT LINKED BUT NO TRADE MADE - NORTH AMERICA,Matches,1,Play 1 game on FACEIT,100 Giveaway Tickets,"5,757","5,179","5,177",99.96%,99.96%,"4,125"
,Custom Mission,2,Trade any item with Tradeit,$2 Tradeit Credit,"5,317",98,98,1.89%,1.89%,89
,Custom Mission,3,Trade an item $250+,$25 Tradeit Credit,101,14,14,14.29%,0.27%,14
campaing adminURL ,https://www.faceit.com/en/admin/campaigns-config/694a8c1711b1431cb8f133b8/details,,,,,,,,,
campaing ID,694a8c1711b1431cb8f133b8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
