 User Campaign Missions Campaign ID,Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Сыграйте 1 матчей,"37,506","32,511"
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Внесите депозит на сумму 5000 рублей,"31,844","3,321"
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,"3,288","2,295"
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,"3,082","2,100"
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Сыграйте 1 матчей,"5,741","4,700"
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Внесите депозит на сумму 5000 рублей,"4,692","3,115"
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,"8,016","6,040"
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Внесите депозит на сумму 3000 рублей,"74,281","8,119"
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Сыграйте 1 матчей,"79,383","75,763"
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,165,0
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Внесите депозит от 500 рублей,"19,076",169
694009c2dbf0df69e43028c4,Winline Mission - MISSION 4 NO FTD  JANUARY26,Сыграйте 1 матч,"20,851","19,795"
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Сыграйте 1 матчей,"74,560","70,591"
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,"7,483","5,782"
69a188d30c8565913339434c,Winline Mission - MISSION 4 FTD MARCH26,Внесите депозит на сумму 3000 рублей,"69,096","7,588"
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Сыграйте 1 матч,"26,683","25,320"
69400986ffb11e2ea751ffe0,Winline Mission - MISSION 3 - NO KYC  JANUARY26,Пройдите идентификацию в своем Winline аккаунте,"25,230",322
