,, User Campaign Missions Created Week,2025-12-29,2025-12-29,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-09,2026-03-09,2026-03-16,2026-03-16
 User Campaign Missions Campaign ID,Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,171,162,662,614,923,760,830,539,702,220,,,,,,,,,,,,,,
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Внесите депозит на сумму 5000 рублей,383,360,"1,030",914,"1,439","1,066","1,168",671,"27,824",310,,,,,,,,,,,,,,
69400a482964d22091879528,Winline Mission - MISSION 6 FTD JANUARY26,Сыграйте 1 матчей,615,592,"1,283","1,203","1,765","1,573","1,345","1,048","32,498","28,095",,,,,,,,,,,,,,
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,,,,,,,,,,,,,,,,,29,29,"1,159","1,061","1,365",866,529,144
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Сыграйте 1 матчей,,,,,,,,,,,,,,,,,218,213,"2,706","2,510","2,098","1,663",719,314
69a18900ebef5d0656e82d6b,Winline Mission - MISSION 5 WHALE MARCH26,Внесите депозит на сумму 5000 рублей,,,,,,,,,,,,,,,,,92,89,"2,010","1,753","1,920","1,123",670,150
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Внесите депозит на сумму 3000 рублей,"32,033","4,142","20,869","2,374","10,513","1,006","6,890",480,"3,976",117,,,,,,,,,,,,,,
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Сыграйте 1 матчей,"36,277","35,801","21,433","20,621","10,524","9,788","7,057","6,263","4,092","3,290",,,,,,,,,,,,,,
69400a01b2e493c0c53761cf,Winline Mission - MISSION 5 FTD  JANUARY26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,956,915,"1,713","1,526","2,496","1,951","1,703","1,144","1,148",504,,,,,,,,,,,,,,
