technical_name,campaign_id
TRADEIT GENERAL MISSION NORTH AMERICA JAN26,694a8bb5fe58fa8f3dc72bdb
TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,694a8be18e214f349b545914
TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,694a8c1711b1431cb8f133b8
TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,694a8c45fe58fa8f3dc72bdd
TRADEIT GENERAL MISSION CIS JAN26,694a8c7946aba03183541c8b
TRADEIT USERS AL & NO TRADE CIS JAN26,694a8caf11b1431cb8f133b9
TRADEIT USERS AL & TRADE CIS JAN26,694a8cdd46aba03183541c8c
TRADEIT GENERAL MISSION MENA JAN26,694a8d0d46aba03183541c8d
TRADEIT USERS AL & NO TRADE MENA JAN26,694a8d3a11b1431cb8f133bc
TRADEIT USERS AL & TRADE MENA JAN26,694a8d687454fa4a52840397
TRADEIT GENERAL MISSION APAC JAN26,694a8d9546aba03183541c8e
TRADEIT USERS AL & NO TRADE  APAC JAN26,694a8dbe8e214f349b545919
TRADEIT USERS AL & TRADE APAC JAN26,694a8de78e214f349b54591a
TRADEIT GENERAL MISSION NORTH AMERICA FEB26,697893428bc18e02af3cb92e
TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,697893828bc18e02af3cb92f
TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,697893ba9cdcb10e9c74577b
TRADEIT GENERAL MISSION CIS FEB26,6978945688d3595e56b67839
TRADEIT USERS AL & NO TRADE CIS FEB26,697894869cdcb10e9c74577d
TRADEIT USERS AL & TRADE CIS FEB26,697894b59cdcb10e9c74577e
TRADEIT GENERAL MISSION MENA FEB26,697894e188d3595e56b6783c
TRADEIT USERS AL & NO TRADE MENA FEB26,6978951588d3595e56b6783d
TRADEIT USERS AL & TRADE MENA FEB26,6978954a8bc18e02af3cb932
TRADEIT GENERAL MISSION APAC FEB26,6978957888d3595e56b6783e
TRADEIT USERS AL & NO TRADE  APAC FEB26,697895ad9cdcb10e9c74577f
TRADEIT USERS AL & TRADE APAC FEB26,697895df9cdcb10e9c745780
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,69a989878b5fcff0aab25396
TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,69a98a03c9826d9e405f19c7
TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,69a98a3d67440357fc479dfe
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,69a98a74089d5fa419da09a3
TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,69a98ae424382158645625b8
TRADEIT USERS AL & TRADE CIS MARCH26,69a98b1867440357fc479dff
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,69a98b5124382158645625ba
TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,69a98b81c9826d9e405f19cc
TRADEIT USERS AL & TRADE MENA MARCH26,69a98bad67440357fc479e01
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,69a98be124382158645625bc
TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,69a98c3e67440357fc479e03
TRADEIT USERS AL & TRADE APAC MARCH26,69a98c6b8b5fcff0aab2539c
TRADEIT GENERAL MISSION CIS EXC MARCH26,69a98cb824382158645625bd
TRADEIT GENERAL MISSION LATAM MARCH26,69a98cf1c9826d9e405f19ce
TRADEIT GENERAL MISSION EU MARCH26,69a98d1e8b5fcff0aab2539e
