Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
United States,2026-04-05,12712,$5.66 ,$0.45 ,45.45%
United States,2026-04-04,10975,$4.88 ,$0.44 ,35.10%
United States,2026-04-03,10783,$5.16 ,$0.48 ,39.59%
United States,2026-04-02,10459,$4.65 ,$0.44 ,33.75%
United States,2026-04-08,10294,$4.43 ,$0.43 ,36.26%
United States,2026-04-07,9577,$4.26 ,$0.44 ,34.06%
United States,2026-04-01,8836,$4.27 ,$0.48 ,30.15%
United States,2026-04-06,8706,$4.04 ,$0.46 ,28.17%
United States,2026-03-30,8216,$4.38 ,$0.53 ,30.31%
United States,2026-03-31,7738,$3.64 ,$0.47 ,27.75%
Germany,2026-04-08,3049,$0.29 ,$0.10 ,16.83%
Germany,2026-03-30,3000,$0.67 ,$0.22 ,16.99%
Germany,2026-04-01,2875,$0.50 ,$0.17 ,16.04%
Germany,2026-03-31,2651,$0.71 ,$0.27 ,15.34%
Germany,2026-04-02,2182,$0.43 ,$0.20 ,11.58%
Germany,2026-04-03,2100,$0.29 ,$0.14 ,11.16%
Germany,2026-04-07,1667,$0.32 ,$0.19 ,9.45%
Germany,2026-04-04,1664,$0.30 ,$0.18 ,8.46%
Germany,2026-04-05,1626,$0.37 ,$0.23 ,9.25%
Brazil,2026-03-30,1624,$0.17 ,$0.11 ,8.37%
Germany,2026-04-06,1583,$0.34 ,$0.22 ,7.65%
Poland,2026-03-30,1317,$0.37 ,$0.28 ,6.28%
Brazil,2026-04-03,1260,$0.14 ,$0.11 ,4.95%
Brazil,2026-04-05,1224,$0.07 ,$0.06 ,7.10%
Canada,2026-04-03,1187,$0.21 ,$0.18 ,14.72%
Poland,2026-04-01,1174,$0.26 ,$0.22 ,5.20%
Brazil,2026-04-01,1104,$0.08 ,$0.07 ,5.19%
United Kingdom,2026-04-02,1086,$0.37 ,$0.34 ,13.17%
Canada,2026-04-05,1040,$0.19 ,$0.19 ,9.83%
Brazil,2026-04-02,1039,$0.08 ,$0.08 ,4.62%
Brazil,2026-03-31,1016,$0.10 ,$0.10 ,5.77%
Canada,2026-04-04,984,$0.14 ,$0.15 ,11.34%
Poland,2026-04-02,967,$0.21 ,$0.22 ,4.41%
United Kingdom,2026-03-30,961,$0.44 ,$0.46 ,11.71%
United Kingdom,2026-03-31,946,$0.37 ,$0.39 ,12.69%
Poland,2026-03-31,913,$0.28 ,$0.31 ,4.60%
Canada,2026-04-02,903,$0.18 ,$0.20 ,14.10%
Canada,2026-04-01,889,$0.24 ,$0.27 ,16.49%
United Kingdom,2026-04-01,883,$0.35 ,$0.40 ,10.28%
Canada,2026-04-08,877,$0.16 ,$0.19 ,13.19%
United Kingdom,2026-04-07,856,$0.23 ,$0.27 ,18.09%
Canada,2026-03-30,844,$0.21 ,$0.25 ,14.97%
Poland,2026-04-03,843,$0.08 ,$0.09 ,4.01%
Canada,2026-04-06,809,$0.16 ,$0.20 ,12.22%
Brazil,2026-04-07,766,$0.07 ,$0.09 ,4.10%
Brazil,2026-04-08,766,$0.06 ,$0.08 ,4.05%
Canada,2026-04-07,761,$0.17 ,$0.22 ,13.93%
Brazil,2026-04-06,759,$0.06 ,$0.08 ,4.47%
Argentina,2026-04-07,748,$0.09 ,$0.13 ,12.05%
Brazil,2026-04-04,744,$0.05 ,$0.07 ,3.85%
Argentina,2026-04-08,730,$0.11 ,$0.14 ,12.45%
Poland,2026-04-08,711,$0.08 ,$0.11 ,3.44%
United Kingdom,2026-04-03,709,$0.18 ,$0.25 ,10.77%
Canada,2026-03-31,698,$0.15 ,$0.22 ,7.53%
Sweden,2026-04-02,684,$0.09 ,$0.14 ,16.47%
South Korea,2026-04-06,679,$0.18 ,$0.27 ,12.97%
South Korea,2026-04-08,648,$0.30 ,$0.46 ,16.53%
Argentina,2026-04-05,642,$0.10 ,$0.15 ,10.97%
Uzbekistan,2026-04-04,642,$0.13 ,$0.21 ,35.57%
United Kingdom,2026-04-05,638,$0.19 ,$0.29 ,7.53%
Sweden,2026-04-05,626,$0.06 ,$0.10 ,13.24%
Sweden,2026-04-06,611,$0.02 ,$0.04 ,11.81%
