,Campaign Id,Technical name,Mission Name,Total Completed Missions,Total Users Activated
1,b4fb39ac-6bd4-4292-b278-fc38b2a97b01,Winline Mission - AGNOSTIC MISSION 1 - MARCH26,Сыграйте 1 матчей,"321,155","346,372"
2,c5171221-2512-4149-b9a1-c2a4d5feb5a9,Winline Mission - MISSION 4 FTD MARCH26,Сыграйте 1 матчей,"79,429","83,319"
3,ae773348-e768-4ab5-a2ad-f3dfbf37a8ab,Winline Mission - MISSION 2 - NO KYC MARCH26,Сыграйте 1 матч,"26,432","27,959"
4,29c191ca-cce6-4558-b2dd-0d4360365741,Winline Mission - MISSION 5 WHALE MARCH26,Сыграйте 1 матчей,"21,764","27,549"
5,136665b8-1d17-4901-ae10-a087b913c9e0,Winline Mission - MISSION 3 - NO FTD MARCH26,Сыграйте 1 матч,"20,669","21,787"
6,c5171221-2512-4149-b9a1-c2a4d5feb5a9,Winline Mission - MISSION 4 FTD MARCH26,Внесите депозит на сумму 3000 рублей,"10,195","77,743"
7,c5171221-2512-4149-b9a1-c2a4d5feb5a9,Winline Mission - MISSION 4 FTD MARCH26,Совершите ставки на сумму в 5000 рублей с минимальным коэффициентом 1.3,"7,944","10,059"
8,b4fb39ac-6bd4-4292-b278-fc38b2a97b01,Winline Mission - AGNOSTIC MISSION 1 - MARCH26,Подключите свой аккаунт Winline,"5,890","319,697"
9,29c191ca-cce6-4558-b2dd-0d4360365741,Winline Mission - MISSION 5 WHALE MARCH26,Внесите депозит на сумму 5000 рублей,"4,733","21,345"
10,29c191ca-cce6-4558-b2dd-0d4360365741,Winline Mission - MISSION 5 WHALE MARCH26,Совершите ставки на сумму 25 000 рублей с минимальным коэффициентом 1.3,"3,292","4,683"
11,ae773348-e768-4ab5-a2ad-f3dfbf37a8ab,Winline Mission - MISSION 2 - NO KYC MARCH26,Пройдите идентификацию в своем Winline аккаунте,384,"26,327"
12,136665b8-1d17-4901-ae10-a087b913c9e0,Winline Mission - MISSION 3 - NO FTD MARCH26,Внесите депозит от 500 рублей,203,"19,906"
13,ae773348-e768-4ab5-a2ad-f3dfbf37a8ab,Winline Mission - MISSION 2 - NO KYC MARCH26,Внесите депозит от 500 рублей,82,364
14,136665b8-1d17-4901-ae10-a087b913c9e0,Winline Mission - MISSION 3 - NO FTD MARCH26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,79,200
15,ae773348-e768-4ab5-a2ad-f3dfbf37a8ab,Winline Mission - MISSION 2 - NO KYC MARCH26,Сделайте ставку от 1000 рублей с минимальным коэффициентом от 1.3,27,80
