 Daily Active Players Day Month,2026-02
Users Last Country ISO Code, Daily Active Players Total Distinct Active Players
RU,"473,207"
PL,"163,691"
KZ,"109,219"
TR,"80,537"
UA,"73,292"
DE,"61,038"
US,"52,498"
RO,"48,159"
BY,"33,241"
FI,"31,815"
PT,"30,514"
XK,"30,489"
UZ,"30,485"
DK,"30,101"
FR,"29,673"
BR,"28,221"
SE,"27,077"
GB,"25,275"
NL,"22,056"
MN,"21,819"
AR,"21,655"
CZ,"16,607"
RS,"13,632"
LT,"13,403"
ES,"12,548"
CA,"11,271"
MK,"10,938"
NO,"10,737"
HU,"9,960"
LV,"9,875"
SK,"9,038"
BG,"8,723"
KG,"7,476"
GE,"7,300"
AT,"7,135"
AU,"6,448"
EE,"6,427"
BE,"6,259"
CH,"6,148"
VN,"5,603"
MD,"5,444"
IT,"5,002"
IL,"4,983"
BA,"4,539"
PK,"4,122"
CN,"3,825"
HR,"3,803"
HK,"3,650"
AL,"3,619"
TJ,"3,394"
IN,"3,349"
GR,"3,280"
PH,"3,250"
MY,"3,225"
IR,"3,132"
AZ,"2,911"
SG,"2,849"
TH,"2,842"
CL,"2,831"
AE,"2,750"
TW,"2,713"
ID,"2,683"
IE,"2,612"
KR,"2,605"
DZ,"2,477"
LB,"2,427"
SI,"1,994"
JO,"1,850"
PE,"1,715"
ME,"1,703"
JP,"1,440"
AM,"1,422"
IS,"1,330"
SA,"1,302"
UY,"1,229"
PS,"1,195"
MX,"1,036"
IQ,946
CY,800
NZ,752
VE,696
TN,671
MA,605
CO,576
EG,559
ZA,491
LU,432
KW,422
BD,411
SY,376
PY,344
KH,339
MT,242
QA,220
MM,182
EC,174
BN,166
OM,126
BO,118
PA,118
DO,114
MO,109
CR,108
GT,103
LK,92
LY,76
NP,76
AX,74
FO,74
,73
BH,70
LI,50
JE,47
PR,46
AD,34
GL,33
MU,29
IM,27
LA,27
RE,27
SV,27
MV,25
HN,24
CI,22
NC,19
MC,18
GG,17
SN,15
MQ,14
TT,14
KE,13
NI,11
GH,9
AO,8
GP,8
NG,8
TM,8
CD,7
CM,7
TG,7
AF,6
JM,6
NA,6
BB,5
BS,5
GA,5
GF,5
AW,4
CU,4
CV,4
GN,4
GU,4
MF,4
MR,4
TZ,4
ZW,4
DJ,3
ET,3
GI,3
GY,3
LR,3
ML,3
PF,3
PM,3
TD,3
BL,2
BM,2
BQ,2
CW,2
KY,2
MG,2
SR,2
AG,1
BF,1
BJ,1
BT,1
BZ,1
DM,1
GD,1
NE,1
PG,1
RW,1
SC,1
SD,1
SM,1
SO,1
TL,1
UG,1
VI,1
VU,1
YE,1
ZM,1
FK,0
