 Daily Active Players Day Month,,2026-02
Users Last Country ISO Code, Daily Active Players Total Finished Matchmaking Matches, Daily Active Players Total Finished Matchmaking Matches
RU,"12,288,673","12,288,673"
KZ,"3,629,873","3,629,873"
PL,"3,442,222","3,442,222"
UA,"1,385,155","1,385,155"
TR,"1,107,849","1,107,849"
XK,"1,096,149","1,096,149"
DE,"1,087,953","1,087,953"
RO,"1,057,246","1,057,246"
BY,"945,324","945,324"
UZ,"802,697","802,697"
FI,"611,110","611,110"
PT,"591,627","591,627"
US,"547,089","547,089"
NL,"546,827","546,827"
DK,"436,414","436,414"
SE,"420,615","420,615"
FR,"417,519","417,519"
MN,"402,951","402,951"
GB,"360,571","360,571"
BR,"351,302","351,302"
MK,"346,097","346,097"
RS,"342,008","342,008"
AR,"290,402","290,402"
LT,"266,877","266,877"
CZ,"248,215","248,215"
KG,"224,981","224,981"
LV,"208,738","208,738"
GE,"194,892","194,892"
ES,"179,077","179,077"
BG,"168,747","168,747"
SK,"147,643","147,643"
CA,"137,957","137,957"
HU,"136,721","136,721"
EE,"123,556","123,556"
NO,"122,241","122,241"
PK,"119,146","119,146"
MD,"118,689","118,689"
AL,"116,414","116,414"
AT,"108,215","108,215"
BA,"106,800","106,800"
CH,"100,824","100,824"
TJ,"99,018","99,018"
VN,"98,015","98,015"
BE,"97,179","97,179"
IT,"97,028","97,028"
AU,"76,411","76,411"
HR,"76,206","76,206"
IL,"74,296","74,296"
DZ,"72,287","72,287"
AZ,"66,653","66,653"
LB,"60,278","60,278"
PH,"59,903","59,903"
GR,"59,241","59,241"
IN,"54,811","54,811"
KR,"52,933","52,933"
MY,"50,902","50,902"
AE,"50,878","50,878"
IR,"48,552","48,552"
TH,"48,107","48,107"
ME,"45,989","45,989"
JO,"45,738","45,738"
HK,"43,080","43,080"
CL,"42,280","42,280"
ID,"42,117","42,117"
IE,"39,415","39,415"
SG,"37,259","37,259"
SI,"35,024","35,024"
AM,"34,023","34,023"
CN,"29,288","29,288"
PE,"29,138","29,138"
PS,"28,595","28,595"
TW,"28,142","28,142"
JP,"25,819","25,819"
UY,"20,609","20,609"
IQ,"19,450","19,450"
SA,"18,636","18,636"
VE,"18,149","18,149"
TN,"15,558","15,558"
IS,"14,929","14,929"
MA,"13,909","13,909"
MX,"13,819","13,819"
CY,"12,079","12,079"
EG,"11,887","11,887"
SY,"10,875","10,875"
NZ,"9,824","9,824"
CO,"7,378","7,378"
KH,"7,316","7,316"
BD,"7,252","7,252"
KW,"7,158","7,158"
LU,"6,673","6,673"
PY,"4,968","4,968"
MM,"4,546","4,546"
QA,"4,240","4,240"
MT,"3,895","3,895"
BN,"3,063","3,063"
LK,"2,399","2,399"
BO,"2,343","2,343"
EC,"2,294","2,294"
OM,"2,037","2,037"
LY,"1,996","1,996"
DO,"1,615","1,615"
MO,"1,486","1,486"
,"1,485","1,485"
CR,"1,382","1,382"
NP,"1,206","1,206"
AX,"1,159","1,159"
GT,"1,106","1,106"
PA,"1,048","1,048"
LI,"1,014","1,014"
BH,950,950
LA,582,582
MV,578,578
MU,568,568
CI,555,555
SV,551,551
JE,518,518
HN,508,508
KE,505,505
ZA,470,470
PR,407,407
IM,404,404
RE,376,376
GH,354,354
SN,341,341
AD,306,306
FO,292,292
MC,193,193
NC,193,193
AO,193,193
MR,192,192
MQ,165,165
TG,160,160
NG,153,153
TD,145,145
TM,144,144
DJ,139,139
GL,120,120
GU,117,117
GA,85,85
GG,82,82
CW,75,75
JM,71,71
TT,63,63
MG,63,63
BS,61,61
NI,57,57
GP,51,51
ET,46,46
AW,42,42
ZW,38,38
KY,35,35
AF,34,34
MF,30,30
BQ,30,30
GI,29,29
GN,24,24
TZ,18,18
BJ,18,18
CD,16,16
PM,15,15
ML,15,15
TL,15,15
GF,14,14
BM,14,14
CV,13,13
GY,12,12
CM,12,12
SM,10,10
PF,10,10
SR,9,9
NE,9,9
YE,6,6
VU,5,5
BB,5,5
DM,4,4
BT,4,4
PG,4,4
LR,3,3
AG,3,3
BF,3,3
BZ,2,2
RW,2,2
BL,2,2
VI,2,2
NA,1,1
SD,1,1
UG,0,0
CU,0,0
,"37,356,136","37,356,136"
