 Daily Active Players Day Month,,,2026-02,2026-02
Users Last Country ISO Code, Daily Active Players Total Finished Matchmaking Matches, Daily Active Players Total Distinct Active Players, Daily Active Players Total Finished Matchmaking Matches, Daily Active Players Total Distinct Active Players
RU,"12,288,673","433,139","12,288,673","433,139"
KZ,"3,629,873","105,265","3,629,873","105,265"
PL,"3,442,222","147,427","3,442,222","147,427"
UA,"1,385,155","60,916","1,385,155","60,916"
TR,"1,107,849","60,005","1,107,849","60,005"
XK,"1,096,149","29,044","1,096,149","29,044"
DE,"1,087,953","47,598","1,087,953","47,598"
RO,"1,057,246","43,764","1,057,246","43,764"
BY,"945,324","31,311","945,324","31,311"
UZ,"802,697","29,239","802,697","29,239"
FI,"611,110","26,895","611,110","26,895"
PT,"591,627","27,153","591,627","27,153"
US,"547,089","36,724","547,089","36,724"
NL,"546,827","19,161","546,827","19,161"
DK,"436,414","22,496","436,414","22,496"
SE,"420,615","21,161","420,615","21,161"
FR,"417,519","23,133","417,519","23,133"
MN,"402,951","21,315","402,951","21,315"
GB,"360,571","18,708","360,571","18,708"
BR,"351,302","25,121","351,302","25,121"
MK,"346,097","10,047","346,097","10,047"
RS,"342,008","12,199","342,008","12,199"
AR,"290,402","17,760","290,402","17,760"
LT,"266,877","11,636","266,877","11,636"
CZ,"248,215","13,905","248,215","13,905"
KG,"224,981","7,180","224,981","7,180"
LV,"208,738","8,712","208,738","8,712"
GE,"194,892","6,622","194,892","6,622"
ES,"179,077","10,357","179,077","10,357"
BG,"168,747","7,529","168,747","7,529"
SK,"147,643","7,895","147,643","7,895"
CA,"137,957","8,286","137,957","8,286"
HU,"136,721","8,384","136,721","8,384"
EE,"123,556","5,705","123,556","5,705"
NO,"122,241","7,151","122,241","7,151"
PK,"119,146","4,024","119,146","4,024"
MD,"118,689","4,964","118,689","4,964"
AL,"116,414","3,487","116,414","3,487"
AT,"108,215","5,052","108,215","5,052"
BA,"106,800","3,930","106,800","3,930"
CH,"100,824","4,501","100,824","4,501"
TJ,"99,018","3,244","99,018","3,244"
VN,"98,015","5,405","98,015","5,405"
BE,"97,179","4,987","97,179","4,987"
IT,"97,028","4,241","97,028","4,241"
AU,"76,411","5,202","76,411","5,202"
HR,"76,206","3,197","76,206","3,197"
IL,"74,296","3,638","74,296","3,638"
DZ,"72,287","2,387","72,287","2,387"
AZ,"66,653","2,685","66,653","2,685"
LB,"60,278","2,037","60,278","2,037"
PH,"59,903","3,059","59,903","3,059"
GR,"59,241","2,589","59,241","2,589"
IN,"54,811","3,296","54,811","3,296"
KR,"52,933","2,470","52,933","2,470"
MY,"50,902","3,077","50,902","3,077"
AE,"50,878","2,216","50,878","2,216"
IR,"48,552","3,099","48,552","3,099"
TH,"48,107","2,588","48,107","2,588"
ME,"45,989","1,447","45,989","1,447"
JO,"45,738","1,701","45,738","1,701"
HK,"43,080","3,453","43,080","3,453"
CL,"42,280","2,652","42,280","2,652"
ID,"42,117","2,518","42,117","2,518"
IE,"39,415","1,961","39,415","1,961"
