Users Last Country ISO Code, Daily Active Players Total Finished Matchmaking Matches, Daily Active Players Total Distinct Active Players
RU,"144,534,019","1,360,562"
KZ,"32,470,024","191,934"
PL,"31,943,005","393,177"
UA,"18,980,064","215,093"
DE,"14,665,275","182,349"
TR,"14,497,566","250,419"
XK,"11,092,913","46,048"
BY,"10,467,547","88,025"
RO,"9,985,943","114,873"
US,"8,798,041","211,033"
PT,"8,070,130","88,568"
FI,"7,529,906","79,546"
UZ,"7,512,256","56,106"
NL,"6,489,224","57,691"
DK,"5,613,783","69,917"
FR,"5,543,698","91,931"
SE,"5,382,252","79,647"
GB,"5,067,697","82,066"
RS,"4,665,248","40,575"
BR,"4,201,354","110,213"
AR,"4,042,194","74,192"
MK,"3,455,681","19,394"
CZ,"3,258,172","50,368"
LT,"3,121,668","38,599"
MN,"3,001,734","38,462"
LV,"2,579,535","27,056"
ES,"2,549,199","44,926"
KG,"2,176,343","14,832"
VN,"2,056,120","30,598"
CA,"2,032,086","42,881"
NO,"2,000,807","31,327"
BG,"1,895,997","24,759"
SK,"1,839,501","26,745"
GE,"1,802,647","17,300"
AU,"1,625,597","32,182"
HU,"1,517,353","28,583"
BA,"1,504,333","12,992"
EE,"1,490,136","18,640"
PK,"1,426,610","10,004"
AT,"1,410,814","18,492"
IR,"1,294,616","15,979"
BE,"1,276,609","18,353"
MD,"1,246,312","14,089"
AL,"1,227,638","6,684"
CH,"1,227,550","15,186"
IL,"1,203,885","16,978"
IT,"1,197,007","16,176"
TJ,"1,063,333","6,168"
PH,"1,037,605","18,630"
HR,"969,000","11,793"
MY,"914,332","17,327"
IN,"832,185","15,585"
TH,"803,752","16,062"
GR,"802,024","11,107"
AZ,"757,104","7,359"
DZ,"738,778","7,256"
AE,"689,254","7,852"
HK,"688,765","21,094"
CL,"674,347","13,183"
CN,"641,288","40,402"
SG,"622,043","14,426"
ID,"596,371","13,476"
KR,"588,188","9,010"
LB,"575,730","5,866"
IE,"547,596","7,555"
ME,"547,035","4,051"
JO,"475,559","4,960"
SI,"464,377","5,943"
AM,"419,477","3,667"
TW,"408,002","13,276"
PE,"395,827","6,915"
PS,"350,509","2,959"
JP,"317,409","7,002"
UY,"270,497","4,830"
SA,"252,032","4,841"
VE,"228,080","2,050"
IS,"220,071","2,655"
IQ,"207,018","4,128"
TN,"198,249","2,252"
MX,"195,755","5,914"
NZ,"186,093","4,003"
CY,"175,494","2,215"
MA,"156,259","2,188"
EG,"137,605","5,094"
KH,"120,034","1,475"
KW,"105,337","1,203"
LU,"102,900","1,352"
CO,"102,298","2,861"
BD,"84,739","1,518"
PY,"72,649","1,377"
SY,"70,630",669
BN,"60,257",768
MM,"59,077",654
QA,"54,257",702
MT,"53,781",684
OM,"28,529",514
LK,"26,658",345
MO,"26,015",819
LY,"25,091",635
EC,"24,865",867
BO,"24,024",535
,"22,538",199
NP,"22,209","1,959"
DO,"20,994",421
CR,"18,772",650
BH,"17,726",310
GT,"17,238",511
PA,"16,537",382
LI,"15,008",166
ZA,"14,889","2,251"
AX,"14,059",225
MV,"11,387",127
FO,"9,992",267
PR,"8,714",270
JE,"7,885",155
LA,"7,134",125
GL,"6,962",82
HN,"6,381",141
KE,"6,068",64
AD,"5,770",139
SN,"5,405",55
SV,"5,255",143
NC,"4,589",81
IM,"4,174",71
NG,"4,121",75
CI,"4,111",55
GG,"3,865",53
GH,"3,714",37
AO,"3,386",45
GI,"3,038",49
MC,"3,017",57
GU,"2,747",60
RE,"2,702",174
ZW,"2,521",25
MU,"2,506",114
TM,"1,930",28
MR,"1,494",6
KY,"1,297",15
TT,"1,254",63
CD,"1,241",24
TG,"1,217",11
MQ,"1,104",29
BS,"1,100",17
SD,"1,063",18
NI,"1,035",58
MG,"1,028",28
MF,990,14
DJ,962,3
GN,939,14
PM,900,8
CW,887,8
SL,882,6
TZ,867,27
CV,852,11
BZ,777,14
GP,724,21
TD,700,4
PG,648,19
ML,642,11
BB,618,10
SR,573,14
BJ,572,5
GF,535,21
AW,527,24
PF,505,13
GA,455,23
GQ,411,4
CM,403,22
BF,375,6
CF,352,2
JM,351,31
BM,337,10
MZ,291,17
AF,284,19
BW,271,10
NE,262,3
ER,184,4
CG,184,5
UG,180,14
MW,176,34
GY,161,12
CU,157,19
YE,141,19
FJ,141,9
LC,118,3
BL,107,2
RW,102,9
ET,100,16
LR,98,7
AG,95,4
HT,86,1
TC,78,5
SC,61,7
WS,58,2
NA,58,28
SM,53,5
TK,41,8
VC,40,3
VU,40,2
ZM,37,20
VG,32,1
BT,28,5
BQ,22,2
SZ,19,3
GD,18,2
KN,17,3
TL,15,2
GM,12,3
SX,11,2
VI,10,2
BI,3,1
SO,3,15
YT,3,3
DM,2,3
GW,2,1
SB,2,1
SS,0,0
,"431,498,037","4,876,138"
