Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,Trade an item $250+,"2,710",50
TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,Play 1 game on FACEIT,"3,239","2,729"
TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,Trade an item $250+,"4,243",233
TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,Play 1 game on FACEIT,"4,750","4,280"
TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,Trade an item $250+,"4,010",179
TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,Play 1 game on FACEIT,"4,543","4,036"
TRADEIT USERS AL & TRADE MENA MARCH26,Trade an item $250+,"1,242",27
TRADEIT USERS AL & TRADE MENA MARCH26,Play 1 game on FACEIT,"1,387","1,245"
TRADEIT USERS AL & TRADE MENA JAN26,Play 1 game on FACEIT,"1,537","1,415"
TRADEIT USERS AL & TRADE MENA JAN26,Trade an item $250+,"1,404",58
TRADEIT USERS AL & TRADE MENA FEB26,Play 1 game on FACEIT,"1,629","1,513"
TRADEIT USERS AL & TRADE MENA FEB26,Trade an item $250+,"1,505",71
TRADEIT USERS AL & TRADE CIS MARCH26,Сыграй 1 матч,"20,360","18,714"
TRADEIT USERS AL & TRADE CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"18,645",165
TRADEIT USERS AL & TRADE CIS JAN26,Сыграй 1 матч,"24,093","22,924"
TRADEIT USERS AL & TRADE CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,"22,868",336
TRADEIT USERS AL & TRADE CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,"23,594",347
TRADEIT USERS AL & TRADE CIS FEB26,Сыграй 1 матч,"24,923","23,649"
TRADEIT USERS AL & TRADE APAC MARCH26,Trade an item $250+,"1,546",16
TRADEIT USERS AL & TRADE APAC MARCH26,Play 1 game on FACEIT,"1,753","1,550"
TRADEIT USERS AL & TRADE APAC JAN26,Trade an item $250+,"2,051",63
TRADEIT USERS AL & TRADE APAC JAN26,Play 1 game on FACEIT,"2,242","2,061"
TRADEIT USERS AL & TRADE APAC FEB26,Play 1 game on FACEIT,"2,174","2,001"
TRADEIT USERS AL & TRADE APAC FEB26,Trade an item $250+,"1,998",64
TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Trade an item $250+,102,14
TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Trade any item with Tradeit,"5,350",102
TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,Play 1 game on FACEIT,"5,994","5,414"
TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Trade an item $250+,93,11
TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Trade any item with Tradeit,"5,111",93
TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,Play 1 game on FACEIT,"5,764","5,133"
TRADEIT USERS AL & NO TRADE MENA JAN26,Trade any item with Tradeit,"1,994",59
TRADEIT USERS AL & NO TRADE MENA JAN26,Trade an item $250+,58,3
TRADEIT USERS AL & NO TRADE MENA JAN26,Play 1 game on FACEIT,"2,172","2,008"
TRADEIT USERS AL & NO TRADE MENA FEB26,Play 1 game on FACEIT,"2,236","2,095"
TRADEIT USERS AL & NO TRADE MENA FEB26,Trade an item $250+,53,0
TRADEIT USERS AL & NO TRADE MENA FEB26,Trade any item with Tradeit,"2,087",55
TRADEIT USERS AL & NO TRADE CIS JAN26,Сыграй 1 матч,"56,334","53,535"
TRADEIT USERS AL & NO TRADE CIS JAN26,Обменяй любой предмет на tradeit.gg,"53,415",491
TRADEIT USERS AL & NO TRADE CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,486,18
TRADEIT USERS AL & NO TRADE CIS FEB26,Обменяй любой предмет на tradeit.gg,"54,966",647
TRADEIT USERS AL & NO TRADE CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,643,18
TRADEIT USERS AL & NO TRADE CIS FEB26,Сыграй 1 матч,"58,106","55,082"
TRADEIT USERS AL & NO TRADE  APAC JAN26,Trade any item with Tradeit,"3,705",76
TRADEIT USERS AL & NO TRADE  APAC JAN26,Play 1 game on FACEIT,"4,007","3,722"
TRADEIT USERS AL & NO TRADE  APAC JAN26,Trade an item $250+,76,10
TRADEIT USERS AL & NO TRADE  APAC FEB26,Trade any item with Tradeit,"3,588",58
TRADEIT USERS AL & NO TRADE  APAC FEB26,Play 1 game on FACEIT,"3,906","3,595"
TRADEIT USERS AL & NO TRADE  APAC FEB26,Trade an item $250+,57,6
TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Сыграй 1 матч,"45,987","42,274"
TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй любой предмет на tradeit.gg,"42,157","1,909"
TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"1,899",24
TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Play 1 game on FACEIT,"21,533","18,292"
TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Trade an item $250+,176,19
TRADEIT GENERAL MISSION NORTH AMERICA JAN26,Trade any item with Tradeit,"18,213",176
TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Trade an item $250+,485,41
TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Play 1 game on FACEIT,"47,078","39,972"
TRADEIT GENERAL MISSION NORTH AMERICA FEB26,Trade any item with Tradeit,"39,161",491
TRADEIT GENERAL MISSION MENA JAN26,Trade an item $250+,162,13
TRADEIT GENERAL MISSION MENA JAN26,Play 1 game on FACEIT,"15,245","13,443"
TRADEIT GENERAL MISSION MENA JAN26,Trade any item with Tradeit,"13,266",164
TRADEIT GENERAL MISSION MENA FEB26,Trade any item with Tradeit,"13,018",179
TRADEIT GENERAL MISSION MENA FEB26,Play 1 game on FACEIT,"14,746","13,180"
TRADEIT GENERAL MISSION MENA FEB26,Trade an item $250+,179,6
TRADEIT GENERAL MISSION LATAM MARCH26,Trade an item $250+,622,38
TRADEIT GENERAL MISSION LATAM MARCH26,Trade any item with Tradeit,"32,086",624
TRADEIT GENERAL MISSION LATAM MARCH26,Play 1 game on FACEIT,"38,320","32,112"
TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Play 1 game on FACEIT,"21,667","18,410"
TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Trade an item $250+,220,17
TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,Trade any item with Tradeit,"18,347",221
TRADEIT GENERAL MISSION EU MARCH26,Trade an item $250+,"10,401",756
TRADEIT GENERAL MISSION EU MARCH26,Trade any item with Tradeit,"431,746","10,427"
TRADEIT GENERAL MISSION EU MARCH26,Play 1 game on FACEIT,"497,959","436,918"
TRADEIT GENERAL MISSION CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,"1,182",65
TRADEIT GENERAL MISSION CIS JAN26,Сыграй 1 матч,"390,589","365,173"
TRADEIT GENERAL MISSION CIS JAN26,Обменяй любой предмет на tradeit.gg,"363,764","1,195"
TRADEIT GENERAL MISSION CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,"1,808",112
TRADEIT GENERAL MISSION CIS FEB26,Обменяй любой предмет на tradeit.gg,"363,457","1,826"
TRADEIT GENERAL MISSION CIS FEB26,Сыграй 1 матч,"390,909","364,668"
TRADEIT GENERAL MISSION CIS EXC MARCH26,Обменяй любой предмет на tradeit.gg,"135,696","1,100"
TRADEIT GENERAL MISSION CIS EXC MARCH26,Сыграй 1 матч,"144,450","135,867"
TRADEIT GENERAL MISSION CIS EXC MARCH26,Обменяй предмет стоимостью более 20000 рублей,"1,094",31
TRADEIT GENERAL MISSION APAC JAN26,Trade any item with Tradeit,"42,431",206
TRADEIT GENERAL MISSION APAC JAN26,Play 1 game on FACEIT,"49,048","42,924"
TRADEIT GENERAL MISSION APAC JAN26,Trade an item $250+,206,19
TRADEIT GENERAL MISSION APAC FEB26,Trade an item $250+,206,21
TRADEIT GENERAL MISSION APAC FEB26,Trade any item with Tradeit,"38,357",207
TRADEIT GENERAL MISSION APAC FEB26,Play 1 game on FACEIT,"44,513","38,724"
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"27,475","22,409"
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade an item $250+,246,14
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade any item with Tradeit,"22,267",246
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Play 1 game on FACEIT,"10,083","8,787"
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade an item $250+,241,5
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade any item with Tradeit,"8,772",241
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй любой предмет на tradeit.gg,"255,991","4,023"
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Сыграй 1 матч,"284,024","256,685"
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"3,985",72
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade any item with Tradeit,"16,895",209
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade an item $250+,209,6
TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Play 1 game on FACEIT,"20,866","17,007"
TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade any item with Tradeit,"3,467",126
TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade an item $250+,126,2
TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"4,040","3,481"
TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade any item with Tradeit,"1,605",79
TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade an item $250+,78,2
TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Play 1 game on FACEIT,"1,772","1,607"
TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade any item with Tradeit,"2,638",72
TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Play 1 game on FACEIT,"3,000","2,646"
TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade an item $250+,72,2
