Campaigns Organizer ID,397f5239-ab93-484d-9f94-4231b0cfa48e,976fe92b-0998-4a2a-86a6-f655bbab8f07,db18537b-4172-4813-b089-36490c1553b7
 User Campaign Missions Created Week, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Activated
2026-03-16,"31,071","215,843","7,791"
2026-03-09,"81,989","923,397","18,565"
2026-03-02,"190,155",,"48,458"
2026-02-23,"196,646","64,999","11,032"
2026-02-16,"64,113","87,957","15,292"
2026-02-09,"89,617","126,110","18,490"
2026-02-02,"285,954","362,299","31,741"
2026-01-26,"63,932","48,433","27,521"
2026-01-19,"58,346","84,988","10,606"
2026-01-12,"74,775","104,929","12,231"
2026-01-05,"125,302","179,375","22,205"
2025-12-29,"165,180","230,120","34,281"
