,, User Campaign Missions Created Week,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-09,2026-03-09,2026-03-16,2026-03-16
 User Campaign Missions Campaign ID,Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
69a18962ebef5d0656e82d6c,Winline Mission - KZ AL USERS MARCH26,Сыграйте 1 матчей,,,,,,,,,,,,,,,"5,455","5,411","5,138","5,023","1,389","1,283",644,546
69a18962ebef5d0656e82d6c,Winline Mission - KZ AL USERS MARCH26,Внесите депозит,,,,,,,,,,,,,,,"4,798",114,"5,353",120,"1,446",39,656,9
69a18962ebef5d0656e82d6c,Winline Mission - KZ AL USERS MARCH26,Совершите ставку,,,,,,,,,,,,,,,24,24,108,108,102,102,47,46
69a1893ccc9158b68606c728,KZ NO AL USERS MARCH26,Внесите депозит,,,,,,,,,,,,,,,"20,484",29,"30,706",22,"11,057",7,"5,901",1
69a1893ccc9158b68606c728,KZ NO AL USERS MARCH26,Сыграйте 1 матчей,,,,,,,,,,,,,,,"23,684","23,384","30,549","29,587","11,003","10,207","5,976","5,234"
69a1893ccc9158b68606c728,KZ NO AL USERS MARCH26,Совершите ставку,,,,,,,,,,,,,,,2,2,20,20,19,19,18,17
694186bd183962b6da368f12,KZ NO AL USERS JANUARY26,Совершите ставку,5,5,7,6,14,14,11,11,,,,,,,,,,,,,,
694186bd183962b6da368f12,KZ NO AL USERS JANUARY26,Внесите депозит,"37,753",22,"14,168",5,"9,513",10,"4,541",0,,,,,,,,,,,,,,
694186bd183962b6da368f12,KZ NO AL USERS JANUARY26,Сыграйте 1 матчей,"40,253","39,591","14,360","13,731","9,713","8,961","4,585","4,007",,,,,,,,,,,,,,
697c82c20433758c70d5a1ba,KZ NO AL USERS FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,"46,836","46,113","12,475","11,928","7,890","7,305","5,289","4,550",,,,,,
697c82c20433758c70d5a1ba,KZ NO AL USERS FEBRUARY26,Внесите депозит,,,,,,,,,"44,219",33,"12,422",6,"7,742",4,"5,177",4,,,,,,
697c82c20433758c70d5a1ba,KZ NO AL USERS FEBRUARY26,Совершите ставку,,,,,,,,,15,15,8,8,12,12,12,12,,,,,,
694186ec66eb15b437ca07ca,KZ AL USERS JANUARY26,Совершите ставку,94,93,75,73,66,66,54,54,,,,,,,,,,,,,,
694186ec66eb15b437ca07ca,KZ AL USERS JANUARY26,Внесите депозит,"7,982",213,"2,180",48,"1,074",22,541,7,,,,,,,,,,,,,,
694186ec66eb15b437ca07ca,KZ AL USERS JANUARY26,Сыграйте 1 матчей,"8,433","8,350","2,096","2,011","1,075",975,537,453,,,,,,,,,,,,,,
697c82e60433758c70d5a1bb,KZ AL USERS FEBRUARY26,Внесите депозит,,,,,,,,,"9,196",211,"1,835",31,933,22,523,13,,,,,,
697c82e60433758c70d5a1bb,KZ AL USERS FEBRUARY26,Сыграйте 1 матчей,,,,,,,,,"9,671","9,567","1,751","1,669",901,824,524,443,,,,,,
697c82e60433758c70d5a1bb,KZ AL USERS FEBRUARY26,Совершите ставку,,,,,,,,,166,165,44,44,39,39,28,27,,,,,,
