,, User Campaign Missions Created Week,2025-12-29,2025-12-29,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23
 User Campaign Missions Campaign ID,Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
694a8c45fe58fa8f3dc72bdd,TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,Trade an item $250+,"2,109",162,964,44,547,18,434,8,189,1,,,,,,,,
694a8c45fe58fa8f3dc72bdd,TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,Play 1 game on FACEIT,"2,508","2,426","1,039",937,554,457,442,332,207,128,,,,,,,,
697893ba9cdcb10e9c74577b,TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"3,015","2,808",773,644,481,391,274,193
697893ba9cdcb10e9c74577b,TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,Trade an item $250+,,,,,,,,,,,"2,426",122,796,41,496,15,292,1
694a8d687454fa4a52840397,TRADEIT USERS AL & TRADE MENA JAN26,Play 1 game on FACEIT,"1,020",991,235,202,121,100,100,80,61,42,,,,,,,,
694a8d687454fa4a52840397,TRADEIT USERS AL & TRADE MENA JAN26,Trade an item $250+,892,46,242,7,114,5,84,0,72,0,,,,,,,,
6978954a8bc18e02af3cb932,TRADEIT USERS AL & TRADE MENA FEB26,Play 1 game on FACEIT,,,,,,,,,,,"1,155","1,125",235,201,148,121,91,66
6978954a8bc18e02af3cb932,TRADEIT USERS AL & TRADE MENA FEB26,Trade an item $250+,,,,,,,,,,,"1,025",63,238,6,151,2,91,0
694a8cdd46aba03183541c8c,TRADEIT USERS AL & TRADE CIS JAN26,Обменяй предмет стоимостью более 20000 рублей,"10,948",213,"6,052",77,"2,946",29,"1,843",12,"1,079",5,,,,,,,,
694a8cdd46aba03183541c8c,TRADEIT USERS AL & TRADE CIS JAN26,Сыграй 1 матч,"12,225","12,031","6,089","5,814","2,877","2,645","1,800","1,585","1,102",849,,,,,,,,
697894b59cdcb10e9c74577e,TRADEIT USERS AL & TRADE CIS FEB26,Обменяй предмет стоимостью более 20000 рублей,,,,,,,,,,,"16,422",295,"3,712",32,"2,105",16,"1,355",4
697894b59cdcb10e9c74577e,TRADEIT USERS AL & TRADE CIS FEB26,Сыграй 1 матч,,,,,,,,,,,"17,880","17,489","3,616","3,305","2,092","1,813","1,335","1,042"
694a8de78e214f349b54591a,TRADEIT USERS AL & TRADE APAC JAN26,Trade an item $250+,"1,160",50,445,6,207,4,174,3,65,0,,,,,,,,
694a8de78e214f349b54591a,TRADEIT USERS AL & TRADE APAC JAN26,Play 1 game on FACEIT,"1,317","1,272",452,416,231,198,172,134,70,41,,,,,,,,
697895df9cdcb10e9c745780,TRADEIT USERS AL & TRADE APAC FEB26,Play 1 game on FACEIT,,,,,,,,,,,"1,436","1,384",383,336,213,181,142,100
