,, User Campaign Missions Created Week,2026-03-09,2026-03-09,2026-03-16,2026-03-16,2026-03-23,2026-03-23
 User Campaign Missions Campaign ID,Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"1,409",20,798,11,89,0
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Сыграй 1 матч,"38,420","37,020","11,957","10,065",996,667
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй любой предмет на tradeit.gg,"34,382","1,968","12,219",322,"1,026",19
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade an item $250+,154,8,165,12,43,1
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"19,573","17,596","12,432","9,401","1,409",774
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade any item with Tradeit,"15,281",222,"11,044",121,"1,260",19
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Play 1 game on FACEIT,"7,914","7,424","3,596","2,773",483,288
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade any item with Tradeit,"6,766",242,"3,255",84,443,10
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade an item $250+,162,7,147,3,25,0
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"3,064",72,"1,520",33,203,3
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй любой предмет на tradeit.gg,"201,084","3,850","89,708",912,"8,470",79
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Сыграй 1 матч,"228,365","217,167","91,334","76,962","8,654","5,897"
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade any item with Tradeit,"11,382",183,"9,467",111,931,5
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade an item $250+,131,8,149,2,19,1
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Play 1 game on FACEIT,"14,429","12,848","10,870","8,423","1,062",659
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade any item with Tradeit,"2,572",132,"1,341",30,137,6
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade an item $250+,84,2,75,2,8,0
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"3,109","2,906","1,398","1,086",118,73
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Play 1 game on FACEIT,"1,460","1,398",444,367,47,33
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade an item $250+,65,2,29,1,7,0
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade any item with Tradeit,"1,285",86,457,15,54,1
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade any item with Tradeit,"2,018",72,939,13,79,2
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Play 1 game on FACEIT,"2,359","2,219",965,770,75,55
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade an item $250+,53,0,32,2,2,0
