Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
TRADEIT GENERAL MISSION MISTERY BOX EU - APRIL26,Trade any item with Tradeit,"394,287","11,009","405,296","11,009"
TRADEIT GENERAL MISSION MISTERY BOX RU - APRIL26,Обменяй любой предмет на tradeit.gg,"252,739","1,633","254,372","1,633"
TRADEIT GENERAL MISSION MISTERY BOX CIS MEGA  - APRIL26,Обменяй любой предмет на tradeit.gg,"146,252","1,121","147,373","1,121"
TRADEIT GENERAL MISSION MISTERY BOX EU - APRIL26,Play 1 game on FACEIT,"79,124","407,871","486,995","407,871"
TRADEIT TRADEIT AL & NO TRADE MISTERY BOX RU- APRIL26,Обменяй любой предмет на tradeit.gg,"55,772","2,643","58,415","2,643"
TRADEIT GENERAL MISSION MISTERY BOX LATAM - APRIL26,Trade any item with Tradeit,"34,363",702,"35,065",702
TRADEIT GENERAL MISSION MISTERY BOX APAC - APRIL26,Trade any item with Tradeit,"29,487",236,"29,723",236
TRADEIT GENERAL MISSION MISTERY BOX NORTH AMERICA - APRIL26,Trade any item with Tradeit,"28,972",327,"29,299",327
TRADEIT GENERAL MISSION MISTERY BOX RU - APRIL26,Сыграй 1 матч,"27,294","255,026","282,320","255,026"
TRADEIT AL & NO TRADE MISTERY BOX EU - APRIL26,Trade any item with Tradeit,"24,684","4,324","29,008","4,324"
TRADEIT USERS AL & TRADE RU - APRIL26,Обменяй предмет стоимостью более 4000 рублей,"23,945",514,"24,459",514
TRADEIT USERS AL & TRADE EU- APRIL26,Trade an item €50+,"17,726","1,518","19,244","1,518"
TRADEIT GENERAL MISSION MISTERY BOX NORTH AMERICA - APRIL26,Play 1 game on FACEIT,"11,786","29,515","41,301","29,515"
TRADEIT GENERAL MISSION MISTERY BOX CIS MEGA  - APRIL26,Сыграй 1 матч,"10,961","147,506","158,467","147,506"
TRADEIT GENERAL MISSION MISTERY BOX EU - APRIL26,Trade an item €50+,"9,818","1,147","10,965","1,147"
TRADEIT AL & NO TRADE MISTERY BOX  CIS MEGA - APRIL26,Обменяй любой предмет на tradeit.gg,"9,788",835,"10,623",835
TRADEIT GENERAL MISSION MISTERY MENA - APRIL26,Trade any item with Tradeit,"9,477",177,"9,654",177
TRADEIT GENERAL MISSION MISTERY BOX LATAM - APRIL26,Play 1 game on FACEIT,"7,976","35,084","43,060","35,084"
TRADEIT GENERAL MISSION MISTERY BOX APAC - APRIL26,Play 1 game on FACEIT,"5,564","29,873","35,437","29,873"
TRADEIT TRADEIT AL & NO TRADE MISTERY BOX RU- APRIL26,Сыграй 1 матч,"5,054","58,539","63,593","58,539"
TRADEIT USERS AL & TRADE CIS MEGA - APRIL26,Обменяй предмет стоимостью от 50 долларов,"4,905",199,"5,104",199
TRADEIT AL & NO TRADE MISTERY BOX NORTH AMERICA - APRIL26,Trade any item with Tradeit,"4,703",192,"4,895",192
TRADEIT AL & NO TRADE MISTERY BOX  APAC - APRIL26,Trade any item with Tradeit,"4,036",131,"4,167",131
TRADEIT AL & NO TRADE MISTERY BOX EU - APRIL26,Trade an item €50+,"4,034",279,"4,313",279
TRADEIT USERS AL & TRADE NORTH AMERICA - APRIL26,Trade an item $50+,"3,691",194,"3,885",194
TRADEIT AL & NO TRADE MISTERY BOX EU - APRIL26,Play 1 game on FACEIT,"3,138","29,449","32,587","29,449"
TRADEIT TRADEIT AL & NO TRADE MISTERY BOX RU- APRIL26,Обменяй предмет стоимостью более 4000 рублей,"2,618",0,"2,618",0
