, User Campaign Missions Latest Mission In Campaign Completed Week,2026-03-30,2026-03-30,2026-03-30,2026-03-30,2026-04-06,2026-04-06,2026-04-06,2026-04-06,2026-04-13,2026-04-13,2026-04-13,2026-04-13,,,,
Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
TRADEIT GENERAL MISSION MISTERY BOX EU - APRIL26,Trade any item with Tradeit,"254,202","4,979","259,181","4,979","139,731","6,000","145,731","6,000",354,30,384,30,,,,
TRADEIT GENERAL MISSION MISTERY BOX RU - APRIL26,Обменяй любой предмет на tradeit.gg,"170,532",734,"171,266",734,"82,062",894,"82,956",894,145,5,150,5,,,,
TRADEIT GENERAL MISSION MISTERY BOX CIS MEGA  - APRIL26,Обменяй любой предмет на tradeit.gg,"99,865",516,"100,381",516,"46,337",601,"46,938",601,50,4,54,4,,,,
TRADEIT TRADEIT AL & NO TRADE MISTERY BOX RU- APRIL26,Обменяй любой предмет на tradeit.gg,"41,455","1,631","43,086","1,631","14,297","1,010","15,307","1,010",20,2,22,2,,,,
TRADEIT GENERAL MISSION MISTERY BOX LATAM - APRIL26,Trade any item with Tradeit,"20,660",302,"20,962",302,"13,572",394,"13,966",394,131,6,137,6,,,,
TRADEIT AL & NO TRADE MISTERY BOX EU - APRIL26,Trade any item with Tradeit,"18,883","2,806","21,689","2,806","5,793","1,512","7,305","1,512",8,6,14,6,,,,
TRADEIT USERS AL & TRADE RU - APRIL26,Обменяй предмет стоимостью более 4000 рублей,"18,113",188,"18,301",188,"5,824",325,"6,149",325,8,1,9,1,,,,
TRADEIT GENERAL MISSION MISTERY BOX APAC - APRIL26,Trade any item with Tradeit,"17,515",82,"17,597",82,"11,966",151,"12,117",151,6,3,9,3,,,,
TRADEIT GENERAL MISSION MISTERY BOX NORTH AMERICA - APRIL26,Trade any item with Tradeit,"16,580",99,"16,679",99,"12,261",223,"12,484",223,131,5,136,5,,,,
TRADEIT USERS AL & TRADE EU- APRIL26,Trade an item €50+,"13,710",513,"14,223",513,"4,010","1,002","5,012","1,002",6,3,9,3,,,,
TRADEIT AL & NO TRADE MISTERY BOX  CIS MEGA - APRIL26,Обменяй любой предмет на tradeit.gg,"7,397",538,"7,935",538,"2,390",297,"2,687",297,1,0,1,0,,,,
TRADEIT GENERAL MISSION MISTERY MENA - APRIL26,Trade any item with Tradeit,"6,168",84,"6,252",84,"3,293",93,"3,386",93,16,0,16,0,,,,
TRADEIT GENERAL MISSION MISTERY BOX EU - APRIL26,Trade an item €50+,"4,444",515,"4,959",515,"5,346",630,"5,976",630,28,2,30,2,,,,
TRADEIT USERS AL & TRADE CIS MEGA - APRIL26,Обменяй предмет стоимостью от 50 долларов,"3,779",72,"3,851",72,"1,125",127,"1,252",127,1,0,1,0,,,,
TRADEIT AL & NO TRADE MISTERY BOX NORTH AMERICA - APRIL26,Trade any item with Tradeit,"3,157",90,"3,247",90,"1,538",101,"1,639",101,8,1,9,1,,,,
TRADEIT AL & NO TRADE MISTERY BOX  APAC - APRIL26,Trade any item with Tradeit,"2,784",73,"2,857",73,"1,252",58,"1,310",58,,,,,,,,
TRADEIT AL & NO TRADE MISTERY BOX EU - APRIL26,Trade an item €50+,"2,640",159,"2,799",159,"1,389",119,"1,508",119,5,1,6,1,,,,
TRADEIT USERS AL & TRADE NORTH AMERICA - APRIL26,Trade an item $50+,"2,484",72,"2,556",72,"1,201",122,"1,323",122,6,0,6,0,,,,
TRADEIT AL & NO TRADE MISTERY BOX MENA - APRIL26,Trade any item with Tradeit,"1,830",89,"1,919",89,613,68,681,68,0,1,1,1,,,,
