Campaign ID,Technical Name,Mission Name,Total Distinct Users Activated,Total Distinct Users Completed
69a98b1867440357fc479dff,TRADEIT USERS AL & TRADE CIS MARCH26,Сыграй 1 матч,"25,221","23,674"
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Сыграй 1 матч,"57,740","54,154"
69a98cb824382158645625bd,TRADEIT GENERAL MISSION CIS EXC MARCH26,Сыграй 1 матч,"181,651","172,685"
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Сыграй 1 матч,"385,801","355,327"
69a98b1867440357fc479dff,TRADEIT USERS AL & TRADE CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"23,610",325
69a98cb824382158645625bd,TRADEIT GENERAL MISSION CIS EXC MARCH26,Обменяй предмет стоимостью более 20000 рублей,"1,487",63
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"6,029",184
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй предмет стоимостью более 20000 рублей,"2,867",52
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,Обменяй любой предмет на tradeit.gg,"354,436","6,092"
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,Обменяй любой предмет на tradeit.gg,"54,018","2,888"
69a98cb824382158645625bd,TRADEIT GENERAL MISSION CIS EXC MARCH26,Обменяй любой предмет на tradeit.gg,"172,473","1,496"
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade any item with Tradeit,"35,654",574
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade any item with Tradeit,"2,042",136
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade any item with Tradeit,"4,828",224
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade any item with Tradeit,"12,931",474
69a98cf1c9826d9e405f19ce,TRADEIT GENERAL MISSION LATAM MARCH26,Trade any item with Tradeit,"45,749","1,024"
69a98d1e8b5fcff0aab2539e,TRADEIT GENERAL MISSION EU MARCH26,Trade any item with Tradeit,"575,735","15,862"
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade any item with Tradeit,"3,567",136
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade any item with Tradeit,"28,920",440
67c9903bbceb574462be1545,TRADEIT USERS NO TRADE RU MAR25,Trade an item $250+,485,89
67c990325f277dd3bae6e396,TRADEIT USERS AL & TRADE USA CA MAR25,Trade an item $250+,"3,121",226
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Trade an item $250+,573,53
69a98a3d67440357fc479dfe,TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,Trade an item $250+,"3,785",157
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Trade an item $250+,135,6
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Trade an item $250+,136,5
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Trade an item $250+,470,21
67c9902ebceb574462be1542,TRADEIT USERS AL & TRADE RU MAR25,Trade an item $250+,"18,327",408
67c9907e5f277dd3bae6e3a0,TRADEIT GENERAL MISSION USA CANADA MAR25,Trade an item $250+,542,142
67c990415f277dd3bae6e398,TRADEIT USERS NO TRADE USA CANADA MAR25,Trade an item $250+,99,35
69a98cf1c9826d9e405f19ce,TRADEIT GENERAL MISSION LATAM MARCH26,Trade an item $250+,"1,021",62
69a98d1e8b5fcff0aab2539e,TRADEIT GENERAL MISSION EU MARCH26,Trade an item $250+,"15,809","1,532"
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Trade an item $250+,439,25
69a98c6b8b5fcff0aab2539c,TRADEIT USERS AL & TRADE APAC MARCH26,Trade an item $250+,"2,096",54
69a98bad67440357fc479e01,TRADEIT USERS AL & TRADE MENA MARCH26,Trade an item $250+,"1,615",67
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Trade an item $250+,223,8
67c9904cbceb574462be1549,TRADEIT GENERAL MISSION RU MAR25,Trade an item $250+,777,116
67c9904cbceb574462be1549,TRADEIT GENERAL MISSION RU MAR25,Trade $5+ items with Tradeit,"375,267",790
67c990415f277dd3bae6e398,TRADEIT USERS NO TRADE USA CANADA MAR25,Trade $5+ items with Tradeit,"4,812",100
67c9907e5f277dd3bae6e3a0,TRADEIT GENERAL MISSION USA CANADA MAR25,Trade $5+ items with Tradeit,"50,269",565
67c9903bbceb574462be1545,TRADEIT USERS NO TRADE RU MAR25,Trade $5+ items with Tradeit,"62,368",490
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,Play 1 game on FACEIT,"3,950","3,579"
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"43,260","35,902"
69a98a3d67440357fc479dfe,TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,Play 1 game on FACEIT,"4,415","3,813"
69a98d1e8b5fcff0aab2539e,TRADEIT GENERAL MISSION EU MARCH26,Play 1 game on FACEIT,"653,770","581,055"
