Account Linkage Operation V1 Parent ID,Account Linkage Operation V1 Total Events
69a98d1e8b5fcff0aab2539e,"83,586"
69a98a74089d5fa419da09a3,"44,685"
69a98cb824382158645625bd,"9,872"
6978945688d3595e56b67839,"9,820"
694a8c7946aba03183541c8b,"7,371"
69a98cf1c9826d9e405f19ce,"4,805"
69a98be124382158645625bc,"2,789"
69a98b5124382158645625ba,"2,668"
697893428bc18e02af3cb92e,"2,571"
69a989878b5fcff0aab25396,"2,568"
6978957888d3595e56b6783e,"1,548"
694a8d9546aba03183541c8e,"1,479"
694a8be18e214f349b545914,"1,217"
694a8bb5fe58fa8f3dc72bdb,"1,101"
697894e188d3595e56b6783c,895
694a8d0d46aba03183541c8d,813
69a98ae424382158645625b8,11
694a8caf11b1431cb8f133b9,11
697894869cdcb10e9c74577d,8
694a8dbe8e214f349b545919,5
697894b59cdcb10e9c74577e,5
694a8c1711b1431cb8f133b8,4
694a8de78e214f349b54591a,4
6978951588d3595e56b6783d,4
694a8cdd46aba03183541c8c,3
69a98a3d67440357fc479dfe,2
69a98a03c9826d9e405f19c7,2
697893828bc18e02af3cb92f,2
697895ad9cdcb10e9c74577f,1
69a98b1867440357fc479dff,1
694a8d687454fa4a52840397,1
6978954a8bc18e02af3cb932,1
