Account Linkage Operation V1  Week,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23,2026-03-02,2026-03-09,2026-03-16
Account Linkage Operation V1 Parent ID,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events
6940093e9b4d58f8c47e6fd1,480,534,449,542,381,26,4,4,4,18,24,6
694009049b4d58f8c47e6fd0,190,319,260,360,245,14,6,2,2,9,3,
69400986ffb11e2ea751ffe0,14,13,8,14,3,,,,,,,
69400a01b2e493c0c53761cf,8,12,13,15,12,,,,,,,
694009c2dbf0df69e43028c4,5,8,4,6,8,,,,,,,
69a1880766558055210b36c4,,,,,,,,,463,"1,592","1,394",615
697c8168bd76a0de45398a1e,,,,,,3,1,1,2,,,
69a1889766558055210b36c5,,,,,,,,,1,1,33,7
69a18861cc9158b68606c727,,,,,,,,,1,4,44,10
69a188d30c8565913339434c,,,,,,,,,2,5,112,27
69400a482964d22091879528,,1,1,3,3,,,,,,,
697c80dc4ef62f0511b6201b,,,,,,4,2,,2,3,,
697c81a24ef62f0511b6201d,,,,,,7,10,12,6,,,
697c8265bd76a0de45398a20,,,,,,,2,1,5,,,
697c80a14ef62f0511b6201a,,,,,,"1,236",659,618,505,15,11,6
697c8202bd76a0de45398a1f,,,,,,48,29,20,19,,,
697c82314ef62f0511b6201e,,,,,,,,1,,,,
697c81294ef62f0511b6201c,,,,,,23,13,11,16,,,
697c81cf0433758c70d5a1b9,,,,,,,1,,,,,
69a18900ebef5d0656e82d6b,,,,,,,,,,,2,
