Account Linkage Operation V1  Week,2025-09-15,2025-09-22,2025-09-29,2025-10-06,2025-10-13,2025-10-20,2025-10-27,2025-11-03,2025-11-10,2025-11-17,2025-11-24,2025-12-01,2025-12-08,2025-12-15,2025-12-22,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23,2026-03-02,2026-03-09,2026-03-16
Account Linkage Operation V1 Parent ID,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events,Account Linkage Operation V1 Total Events
68c802a00df6325f2db53117,"4,255","3,585",746,44,12,12,8,2,,,,,,,,,,,,,,,,,,,
68c806cc6a117f063d208178,"2,740","1,659",346,15,14,4,4,2,,,,,,,,,,,,,,,,,,,
68c8067579b9f7874c1350b0,"2,185","1,420",275,22,2,16,,,,,,,,,,,,,,,,,,,,,
69788c7388d3595e56b67831,,,,,,,,,,,,,,,,,,,,189,541,374,413,376,21,6,
6909d76b9732a27cdba00e68,,,,,,,,"6,187","4,201","5,096","3,836",158,22,24,5,16,18,6,4,4,2,8,4,4,6,6,
69297b87dd0a9d39d9c91391,,,,,,,,,,,,"4,266","3,842","4,326","3,779","1,955",56,28,34,22,14,14,14,11,10,15,3
69a0180a5c6a525e32477efa,,,,,,,,,,,,,,,,,,,,,,,,,997,508,392
694551ea346cf08606f221f1,,,,,,,,,,,,,,,,388,405,276,321,292,9,2,,,,,
68e3cd2e0e23baa779f7f951,,,,"1,106",721,618,454,2,,,,,,,,,,,,,,,,,,,
