Account Linkage Operation V1 Parent ID,Account Linkage Operation V1 Total Unique Users
69cd221d5dccf23b991497f1,"24,601"
69cd1ee350c46a5260b4b42d,"3,541"
69cd20d40caa1eb1ed32db6c,"2,528"
69caa9894d476997e101476d,"2,447"
69cd217f50c46a5260b4b462,"1,804"
69a98d1e8b5fcff0aab2539e,956
69cd1e22c89a4661c93e11c1,816
,649
69cd203050c46a5260b4b447,556
69caaad84d476997e101476e,519
69cd1f9ec89a4661c93e11e5,400
976fe92b-0998-4a2a-86a6-f655bbab8f07,363
69a98a74089d5fa419da09a3,335
69caaa7ad758af16cceb9c53,168
69a989878b5fcff0aab25396,93
69a19a29ebef5d0656e82d7f,89
69a98cb824382158645625bd,86
69a98cf1c9826d9e405f19ce,65
69a98b5124382158645625ba,38
69a98be124382158645625bc,34
69cbf947751b05396a6623d1,21
69cd1f17c89a4661c93e11db,10
69cd224d3b99313075fc6349,9
69cd227c5dccf23b991497f8,7
69cbec54545b6422d6465132,6
69cd1f665dccf23b991497c4,5
6978945688d3595e56b67839,4
69caa841a8724eeab44abe5e,4
69cd210bdd12db91580d1816,3
69cd20673b99313075fc632e,3
69b43f5e89b3327242c7ac05,3
69ab042feefa0a9640ea3419,3
69cd1fd00caa1eb1ed32db5a,2
69862c38a74477e87c336d58,2
69cd21405dccf23b991497e0,2
69a1b39866558055210b36fb,2
697894e188d3595e56b6783c,1
694a8c7946aba03183541c8b,1
6878bcfc610594b386c40bf5,1
69989528e9f6ebca6a8ff7b3,1
685e407b73ed261cc39c5fd8,1
697cd334d405947d00580f90,1
698f598da49ae4686e224bf3,1
690c75eefe44b04e5d0e3896,1
692dd3b12acb6beddea8ccdc,1
685bca864a39cab5ed0470c1,1
