Account Linkage Operation V1  Week,2026-03-30,2026-04-06,2026-04-13
New Tracking Session V1 Country,Account Linkage Operation V1 Total Unique Users,Account Linkage Operation V1 Total Unique Users,Account Linkage Operation V1 Total Unique Users
PL,"2,849","2,547",41
TR,"2,419","2,393",52
RU,"1,853","1,798",70
RO,"1,248",977,40
DE,849,884,18
KZ,608,505,19
PT,504,472,17
AR,446,376,23
FI,406,427,14
FR,391,505,24
SE,368,428,20
GB,365,351,6
CZ,350,350,6
DK,344,357,11
BR,342,402,15
US,285,438,43
LT,266,295,3
RS,249,213,3
GE,208,157,5
NL,206,193,8
BY,202,190,8
ES,193,215,4
LV,189,170,3
HU,188,213,9
MK,180,141,2
BG,178,143,8
SK,165,181,4
UZ,156,179,16
EE,136,113,6
NO,134,136,2
MN,123,155,16
MD,119,115,5
GR,97,64,6
BA,96,76,2
BE,95,101,4
IT,86,91,4
AT,81,111,3
CH,79,105,3
HR,73,86,
IL,65,61,8
CA,64,100,6
AL,58,64,2
KG,56,57,5
AZ,48,43,2
IE,40,55,1
CL,38,38,6
AU,36,60,4
ME,32,26,
LB,31,33,3
PH,30,43,2
SI,29,33,
DZ,26,25,
AM,26,27,
PE,24,24,2
JO,23,25,
IN,23,38,1
TJ,19,16,2
IS,18,12,
ID,18,28,1
UA,17,16,1
UY,16,25,1
CO,15,13,1
IQ,14,14,1
TH,14,36,2
KR,14,23,1
VE,13,13,3
AE,11,22,1
JP,10,10,2
MX,9,17,1
PY,8,6,
MA,7,2,
TN,7,12,
SG,6,11,2
LU,6,10,
EG,6,9,2
SA,6,12,
TW,5,12,1
XK,5,5,
KW,5,5,
CR,4,3,
HK,3,12,
DO,3,1,
EC,2,3,
CN,2,,
GT,2,2,
VN,2,,
SV,1,1,
LK,1,,
OM,1,,1
,1,,
BH,1,1,
QA,1,4,
LY,1,,
PK,1,1,
MY,,1,
JM,,1,
PA,,1,
BO,,3,
NZ,,1,
