Page View V1 Url,Page View V1  Date,Page View V1 Total Unique Events,Page View V1 Total Unique Users
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-06,135,99
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-08,84,67
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-02,74,61
https://www.faceit.com/ru/players/StRoGo/cs2/skins,2026-03-24,71,53
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-07,65,53
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-27,65,56
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-29,65,57
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-30,63,48
https://www.faceit.com/ru/players/StRoGo/cs2/skins,2026-03-29,62,47
https://www.faceit.com/ru/players/StRoGo/cs2/skins,2026-03-30,58,47
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-04,57,45
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-26,56,45
https://www.faceit.com/ru/players/StRoGo/cs2/skins,2026-03-27,55,41
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-28,54,49
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-03,54,40
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-11,54,46
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-31,53,41
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-13,49,38
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-10,49,42
https://www.faceit.com/ru/players/StRoGo/cs2/skins,2026-03-26,49,40
https://www.faceit.com/ru/players/irbitka/cs2/skins,2026-04-01,49,38
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-24,48,39
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-09,47,43
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-05,47,38
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-03-25,46,43
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,2026-04-12,46,36
