Event Created At Month,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,2023-12,2023-11,2023-10,2023-09,2023-08,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,1999-12
Event Type,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users
874,"6,720","9,320","8,116","7,996","10,152","5,757","9,460","4,503","5,615","6,100","5,866","6,895","7,900","5,117","3,369","3,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_dep_3000,"6,720","9,320","8,116","7,996","10,152","5,757","9,460","4,503","5,615","6,100","5,866","6,895","7,900","5,118","3,369","3,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,"5,157","7,108","6,038","6,016","7,201","4,265","6,776","3,334","4,052","4,509","4,228","4,819","5,621","3,610","2,273","2,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_bet_5000,"5,157","7,108","6,038","6,016","7,201","4,265","6,776","3,334","4,052","4,509","4,228","4,819","5,621","3,658","2,273","2,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winline,"3,970","5,117","5,511","3,547","6,752","5,486","8,339","9,420","7,248","10,807","10,028","12,457","24,435","32,038","39,326","28,580","16,251","14,074","14,680","18,210","12,536","14,401","15,384","51,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,"2,680","4,077","3,322","3,846","4,102","1,837","3,365","1,565","2,027","2,306","2,219","2,607","3,350","2,686","1,964","2,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_dep_5000,"2,679","4,077","3,321","3,846","4,102","1,837","3,365","1,565","2,027","2,306","2,219","2,607","3,350","2,686","1,965","2,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,"1,776","2,850","2,292","2,539","2,627","1,141","1,995",893,"1,220","1,374","1,268","1,472","1,735","1,786",978,"1,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_bet_25000,"1,776","2,850",,,"2,627","1,141","1,995",893,"1,220","1,374","1,268","1,472","1,735","1,797",978,"1,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registration,"1,114","1,585","1,933","1,249","2,209","2,017","3,396","3,115","2,494","4,421","4,673","4,890","12,366","14,724","17,618","11,674","8,775","7,797","10,716","10,492","11,099","10,273","9,589","17,572","7,717","7,922","2,672","2,948","2,390","4,921","6,873","4,222","4,624","2,440","3,237","3,454","3,148","2,316","2,170","4,253","5,054","5,570","3,786","5,005","4,190","4,039","7,204","7,848","5,625","5,408","3,001","3,620","5,071","5,052","3,130","2,066","3,264","4,622","2,553","2,867","2,252","1,712","1,087",989,"1,260","1,729","1,359","1,414",738,351,194,184,881,"1,406","1,366","1,096","1,108","1,234","2,038","1,002",687,575,870,"1,257","1,555","1,070","1,071","1,023","1,306","2,102","1,154",206,332,517,154,212,182,172,149,211,186,219,190,157,115,171,191,177,150,145,54,40,41,18,12,3,
identification,802,"1,590","1,663","1,517","2,043","2,189","2,908","2,654","2,458","5,459","4,902","4,541","11,743","13,047","14,660","9,661","6,943","5,649","11,645","7,050","8,114","14,816","9,686","18,409","18,919","7,943","2,196","2,341","1,762","3,606","5,668","3,016","3,056","1,462","2,238","2,337","2,109","1,688","1,583","2,919","3,374","3,733","2,527","2,925","2,541","2,571","5,422","5,918","4,563","4,317","2,487","3,161","4,564","4,800","2,639",301,496,762,494,371,322,303,141,162,206,245,210,196,99,68,33,23,118,167,135,141,117,135,174,89,54,79,89,125,133,88,78,85,91,131,54,24,35,49,14,24,22,14,14,18,17,17,14,13,11,14,9,7,7,3,,,1,1,,,
first_bet,565,"1,325","1,036","1,360","1,615","1,759","2,642","2,315","2,207","8,430","4,811","3,961","6,063","5,900","4,349","4,409","4,667","4,567","18,653","5,655","7,563","28,008","13,604","29,183","35,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second_dep,553,"1,373",756,"1,168","1,311","1,414","3,047","2,074","2,112","4,456","2,596","1,520","2,524","1,821","1,355","1,473","1,476","1,470","2,300","1,302","1,860","3,065","1,444","1,596","1,518","1,969","1,025","1,081",715,"1,618","1,510",807,532,299,608,545,564,636,489,900,"1,187","1,029",815,818,594,685,"1,507","1,863","1,902","1,026",613,786,953,"1,040",686,448,677,"1,307",684,612,619,760,336,327,325,431,354,365,145,95,64,40,204,267,186,184,208,205,219,179,100,121,207,211,218,151,154,189,193,192,89,42,70,77,31,39,41,34,34,24,26,50,35,26,10,16,9,20,11,7,,2,,,1,,
first_dep,480,"1,182",873,"1,191","1,442","1,594","2,493","2,157","1,871","6,419","4,404","3,628","5,543","5,333","4,008","4,147","4,468","4,461","8,302","4,718","7,584","12,765","6,935","10,353","17,325","5,850","2,174","2,387","1,669","3,838","5,099","2,371","1,827",917,"1,593","1,566","1,757","1,457","1,145","2,306","2,749","2,752","1,977","2,095","1,856","1,947","4,246","4,596","4,270","3,153","1,747","2,493","3,154","3,083","1,813","1,192","2,117","3,384","2,031","1,824","1,466","1,635",692,723,855,"1,101",917,920,416,223,133,92,495,750,533,513,521,613,701,423,264,300,501,535,626,463,382,437,496,596,301,95,158,187,77,91,86,75,64,85,85,92,80,61,43,55,38,45,45,18,5,3,7,2,2,,
legal,451,"1,108",867,"1,151","1,364","1,517","2,220","1,959","1,722","4,949","3,947","3,225","4,852","4,923","3,644","3,540","3,908","3,665","8,401","4,234","5,346","8,932","6,367","12,207","14,080","7,869","2,201","2,346","1,747","3,590","5,657","3,036","3,069","1,472","2,271","2,358","2,097","1,694","1,580","2,959","3,399","3,764","2,554","2,924","2,535","2,563","5,399","5,900","4,547","4,295","2,458","3,132","4,523","4,682","2,895","1,570","2,616","3,910","2,198","2,286","1,799","1,393",825,778,"1,068","1,417","1,167","1,070",474,193,130,101,559,937,812,728,676,771,756,88,53,78,89,125,132,88,78,84,89,131,54,24,35,49,14,24,22,14,14,18,17,17,14,13,11,14,9,7,7,3,,,1,1,,,157
first_dep_afterbind,387,812,549,702,776,813,"1,460","1,214",928,"3,728","2,028","1,655","2,671","2,198","1,568","1,563","1,387","1,348","2,106","1,596","1,322","2,679","1,478","2,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,133,280,241,335,207,249,444,314,135,230,486,426,726,558,312,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_first_dep_500,133,280,241,335,207,249,444,314,135,230,486,426,726,558,312,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crm0,108,154,196,184,236,219,203,371,452,444,277,321,478,340,415,265,237,211,265,"1,570",62,641,52,299,107,99,246,83,85,98,87,56,35,40,48,40,29,28,28,44,33,43,35,36,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,46,93,64,67,16,95,207,157,44,50,133,117,248,173,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_bet_1000,46,93,64,67,16,95,207,157,44,50,133,117,248,173,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reactivated_dep,16,26,27,15,35,14,65,39,36,83,79,87,277,184,193,171,100,74,140,73,178,287,207,328,21,35,15,15,11,29,33,14,8,9,9,15,10,14,6,9,16,16,12,8,9,8,19,13,13,14,5,7,16,13,4,1,5,11,7,6,4,2,4,,4,2,5,3,,,1,1,1,1,,1,,1,1,,2,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last_dep,,,"31,990","34,088","40,652","37,686","49,390","38,932","11,268",,,,"6,753","5,321","5,577","6,780","6,115","5,870","8,283","5,484","7,068","9,597","5,004","5,363","3,273","2,428",907,"1,009",669,"1,501","1,588",694,474,330,564,487,533,497,304,732,760,675,428,418,404,466,863,883,751,530,284,427,500,454,226,159,281,476,269,179,128,130,68,77,87,125,65,101,54,43,16,20,71,76,85,72,52,56,79,36,18,30,39,50,48,30,28,31,26,44,18,7,15,17,1,4,6,4,7,6,3,6,2,4,3,4,1,1,2,,,,,,,,
task_dep,,,,,,,,,,,,,,,"3,040","5,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_bet,,,,,,,,,,,,,,,982,"3,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_bet_2500,,,"2,292","2,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,,,,74,"1,198",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_dep_1111,,,,74,"1,198",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875_manual,,,,,,,,,,,,,,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,,,367,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_dep_2222,,,,367,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876_manual,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_first_dep,,,,,,,,,,,,,,,154,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
