Event Type,registration,winline
Event Created At Month,Total Distinct Users,Total Distinct Users
2026-04,657,"2,788"
2026-03,"1,873","6,272"
2026-02,"1,733","5,117"
2026-01,"2,014","5,511"
2025-12,"1,329","3,547"
2025-11,"2,279","6,752"
2025-10,"2,094","5,486"
2025-09,"3,499","8,339"
2025-08,"3,172","9,420"
2025-07,"2,536","7,248"
2025-06,"4,493","10,807"
2025-05,"4,749","10,028"
2025-04,"4,953","12,457"
2025-03,"12,467","24,435"
2025-02,"14,789","32,038"
2025-01,"17,659","39,326"
2024-12,"11,711","28,580"
2024-11,"8,826","16,251"
2024-10,"7,843","14,074"
2024-09,"10,785","14,680"
2024-08,"10,534","18,210"
2024-07,"11,180","12,536"
2024-06,"10,355","14,401"
2024-05,"9,647","15,384"
2024-04,"17,644","51,443"
2024-03,"7,770",
2024-02,"7,987",
2024-01,"2,698",
2023-12,"2,974",
2023-11,"2,416",
2023-10,"4,965",
2023-09,"6,927",
2023-08,"4,255",
2023-07,"4,664",
2023-06,"2,469",
2023-05,"3,277",
2023-04,"3,487",
2023-03,"3,183",
2023-02,"2,340",
2023-01,"2,197",
2022-12,"4,303",
2022-11,"5,095",
2022-10,"5,629",
2022-09,"3,824",
2022-08,"5,073",
2022-07,"4,237",
2022-06,"4,076",
2022-05,"7,289",
2022-04,"7,926",
2022-03,"5,687",
2022-02,"5,469",
2022-01,"3,042",
2021-12,"3,657",
2021-11,"5,121",
2021-10,"5,113",
2021-09,"3,160",
2021-08,"2,089",
2021-07,"3,297",
2021-06,"4,674",
2021-05,"2,585",
2021-04,"2,900",
2021-03,"2,268",
2021-02,"1,730",
2021-01,"1,103",
2020-12,"1,004",
2020-11,"1,276",
2020-10,"1,753",
2020-09,"1,369",
2020-08,"1,437",
2020-07,748,
2020-06,357,
2020-05,197,
2020-04,187,
2020-03,888,
2020-02,"1,417",
2020-01,"1,381",
2019-12,"1,110",
2019-11,"1,119",
2019-10,"1,245",
2019-09,"2,067",
2019-08,"1,008",
2019-07,701,
2019-06,585,
2019-05,883,
2019-04,"1,272",
2019-03,"1,577",
2019-02,"1,086",
2019-01,"1,085",
2018-12,"1,039",
2018-11,"1,322",
2018-10,"2,130",
2018-09,"1,169",
2018-08,206,
2018-07,336,
2018-06,521,
2018-05,154,
2018-04,215,
2018-03,185,
2018-02,172,
2018-01,151,
2017-12,215,
2017-11,188,
2017-10,221,
2017-09,192,
2017-08,158,
2017-07,117,
2017-06,176,
2017-05,193,
2017-04,179,
2017-03,151,
2017-02,146,
2017-01,54,
2016-12,40,
2016-11,41,
2016-10,19,
2016-09,12,
2016-08,3,
