ID,IMPS.,REVENUE
US,499,0.15
CA,93386,10.14
XX,227939,2.11
BR,299162,2.98
DE,241587,25.06
NL,24992,0.68
RO,70695,0.44
FR,99800,3.67
GB,84191,6.3
MX,5595,0.69
ES,78023,1.04
AR,112537,1.26
AU,64450,6.51
AT,22325,1.92
BH,252,0
BE,16304,0.77
BG,22997,0.14
CL,20094,0.54
CO,2827,0.03
CR,210,0.01
CZ,64634,1.18
DK,47551,1.81
DO,288,0
EC,933,0.01
SV,168,0.01
FI,74772,0.67
GR,10554,0.19
GT,471,0.02
HN,74,0
HK,43790,3.64
HU,27205,0.24
IE,8777,0.14
IT,12150,0.08
JP,18201,0.21
LT,30741,0.3
NZ,10411,0.23
NG,8,0
NO,33286,3.81
OM,310,0
PA,864,0.02
PE,25684,0.27
PL,371026,6.54
PT,62477,4.09
PR,906,0.06
QA,697,0
SA,2692,0.06
RS,29207,0.11
SG,16375,0.28
SK,35800,1.11
SI,5440,0.01
ZA,9533,0.07
SE,63468,5.55
CH,16102,1.57
TW,68081,0.7
TH,18692,0.13
AE,6584,0.05
UY,5817,0.04
VN,48635,0.12
