Account Linkage Operation V1 Parent ID,Account Linkage Operation V1 Total Events
69a1880766558055210b36c4,"4,052"
697c80a14ef62f0511b6201a,"3,050"
6940093e9b4d58f8c47e6fd1,"2,472"
694009049b4d58f8c47e6fd0,"1,410"
69a188d30c8565913339434c,146
697c8202bd76a0de45398a1f,116
697c81294ef62f0511b6201c,63
69400a01b2e493c0c53761cf,60
69a18861cc9158b68606c727,59
69400986ffb11e2ea751ffe0,52
69a1889766558055210b36c5,42
697c81a24ef62f0511b6201d,35
694009c2dbf0df69e43028c4,31
697c80dc4ef62f0511b6201b,11
69400a482964d22091879528,8
697c8265bd76a0de45398a20,8
697c8168bd76a0de45398a1e,7
69a18900ebef5d0656e82d6b,2
697c81cf0433758c70d5a1b9,1
697c82314ef62f0511b6201e,1
