Page View V1 Url,Page View V1 Total Unique Events,Page View V1 Total Unique Users
https://www.faceit.com/ru/players/CEMEN_BAKIN/cs2/skins,483,383
https://www.faceit.com/ru/players/StRoGo/cs2/skins,398,277
https://www.faceit.com/ru/players/s-chilla/cs2/skins,240,180
https://www.faceit.com/ru/players/b1st-/cs2/skins,209,170
https://www.faceit.com/pl/players/SzeliS/cs2/skins,175,130
https://www.faceit.com/ru/players/zibert1715/cs2/skins,166,132
https://www.faceit.com/ru/players/m3wsu/cs2/skins,165,122
https://www.faceit.com/en/players/nocries/cs2/skins,162,103
https://www.faceit.com/en/players/CEMEN_BAKIN/cs2/skins,147,93
https://www.faceit.com/ru/players/auraeater/cs2/skins,119,82
https://www.faceit.com/pl/players/gwizdakk/cs2/skins,109,79
https://www.faceit.com/ru/players/ct0m/cs2/skins,107,86
https://www.faceit.com/en/players/h4RN1zanami/cs2/skins,91,67
https://www.faceit.com/ru/players/Recrent/cs2/skins,83,71
https://www.faceit.com/ru/players/baz/cs2/skins,76,63
https://www.faceit.com/ru/players/-SYPH0/cs2/skins,68,53
https://www.faceit.com/en/players/s-chilla/cs2/skins,66,39
https://www.faceit.com/ru/players/Murzofix/cs2/skins,64,52
https://www.faceit.com/ru/players/hhakuu/cs2/skins,63,42
https://www.faceit.com/ru/players/h4RN1zanami/cs2/skins,63,48
https://www.faceit.com/en/players/hEAVENACHE11/cs2/skins,62,47
https://www.faceit.com/ru/players/ellf1x/cs2/skins,60,2
https://www.faceit.com/ru/players/kelieN/cs2/skins,60,45
https://www.faceit.com/en/players/b1st-/cs2/skins,59,47
https://www.faceit.com/ru/players/k0gaSs/cs2/skins,57,49
https://www.faceit.com/en/players/StRoGo/cs2/skins,57,30
https://www.faceit.com/ru/players/Magnojezzz/cs2/skins,56,46
https://www.faceit.com/tr/players/jresy/cs2/skins,55,41
https://www.faceit.com/ru/players/MC_TPAXEP666/cs2/skins,54,43
https://www.faceit.com/ru/players/nocries/cs2/skins,52,38
https://www.faceit.com/ru/players/molodoy-/cs2/skins,51,39
